Time[s],Deformation[in]
0,0.00
0.75,0.01
1.5,0.03
2.25,0.04
3,0.06
3.75,0.07
4.5,0.09
5.25,0.10
6,0.12
6.75,0.13
7.5,0.15
8.25,0.13
9,0.12
9.75,0.10
10.5,0.09
11.25,0.07
12,0.06
12.75,0.04
13.5,0.03
14.25,0.01
15,0.00
15.75,-0.01
16.5,-0.03
17.25,-0.04
18,-0.06
18.75,-0.07
19.5,-0.09
20.25,-0.10
21,-0.12
21.75,-0.13
22.5,-0.15
23.25,-0.13
24,-0.12
24.75,-0.10
25.5,-0.09
26.25,-0.07
27,-0.06
27.75,-0.04
28.5,-0.03
29.25,-0.01
30,0.00
30.75,0.01
31.5,0.03
32.25,0.04
33,0.06
33.75,0.07
34.5,0.09
35.25,0.10
36,0.12
36.75,0.13
37.5,0.15
38.25,0.13
39,0.12
39.75,0.10
40.5,0.09
41.25,0.07
42,0.06
42.75,0.04
43.5,0.03
44.25,0.01
45,0.00
45.75,-0.01
46.5,-0.03
47.25,-0.04
48,-0.06
48.75,-0.07
49.5,-0.09
50.25,-0.10
51,-0.12
51.75,-0.13
52.5,-0.15
53.25,-0.13
54,-0.12
54.75,-0.10
55.5,-0.09
56.25,-0.07
57,-0.06
57.75,-0.04
58.5,-0.03
59.25,-0.01
60,0.00
63.25,0.06
66.5,0.13
69.75,0.19
73,0.25
76.25,0.32
79.5,0.38
82.75,0.45
86,0.51
89.25,0.57
92.5,0.64
95.75,0.57
99,0.51
102.25,0.45
105.5,0.38
108.75,0.32
112,0.25
115.25,0.19
118.5,0.13
121.75,0.06
125,0.00
128.25,-0.06
131.5,-0.13
134.75,-0.19
138,-0.25
141.25,-0.32
144.5,-0.38
147.75,-0.45
151,-0.51
154.25,-0.57
157.5,-0.64
160.75,-0.57
164,-0.51
167.25,-0.45
170.5,-0.38
173.75,-0.32
177,-0.25
180.25,-0.19
183.5,-0.13
186.75,-0.06
190,0.00
193.25,0.06
196.5,0.13
199.75,0.19
203,0.25
206.25,0.32
209.5,0.38
212.75,0.45
216,0.51
219.25,0.57
222.5,0.64
225.75,0.57
229,0.51
232.25,0.45
235.5,0.38
238.75,0.32
242,0.25
245.25,0.19
248.5,0.13
251.75,0.06
255,0.00
258.25,-0.06
261.5,-0.13
264.75,-0.19
268,-0.25
271.25,-0.32
274.5,-0.38
277.75,-0.45
281,-0.51
284.25,-0.57
287.5,-0.64
290.75,-0.57
294,-0.51
297.25,-0.45
300.5,-0.38
303.75,-0.32
307,-0.25
310.25,-0.19
313.5,-0.13
316.75,-0.06
320,0.00
326.5,0.13
333,0.25
339.5,0.38
346,0.51
352.5,0.64
359,0.76
365.5,0.89
372,1.02
378.5,1.15
385,1.27
391.5,1.15
398,1.02
404.5,0.89
411,0.76
417.5,0.64
424,0.51
430.5,0.38
437,0.25
443.5,0.13
450,0.00
456.5,-0.13
463,-0.25
469.5,-0.38
476,-0.51
482.5,-0.64
489,-0.76
495.5,-0.89
502,-1.02
508.5,-1.15
515,-1.27
521.5,-1.15
528,-1.02
534.5,-0.89
541,-0.76
547.5,-0.64
554,-0.51
560.5,-0.38
567,-0.25
573.5,-0.13
580,0.00
586.5,0.13
593,0.25
599.5,0.38
606,0.51
612.5,0.64
619,0.76
625.5,0.89
632,1.02
638.5,1.15
645,1.27
651.5,1.15
658,1.02
664.5,0.89
671,0.76
677.5,0.64
684,0.51
690.5,0.38
697,0.25
703.5,0.13
710,0.00
716.5,-0.13
723,-0.25
729.5,-0.38
736,-0.51
742.5,-0.64
749,-0.76
755.5,-0.89
762,-1.02
768.5,-1.15
775,-1.27
781.5,-1.15
788,-1.02
794.5,-0.89
801,-0.76
807.5,-0.64
814,-0.51
820.5,-0.38
827,-0.25
833.5,-0.13
840,0.00
850,0.20
860,0.39
870,0.59
880,0.78
890,0.98
900,1.18
910,1.37
920,1.57
930,1.76
940,1.96
950,1.76
960,1.57
970,1.37
980,1.18
990,0.98
1000,0.78
1010,0.59
1020,0.39
1030,0.20
1040,0.00
1050,-0.20
1060,-0.39
1070,-0.59
1080,-0.78
1090,-0.98
1100,-1.18
1110,-1.37
1120,-1.57
1130,-1.76
1140,-1.96
1150,-1.76
1160,-1.57
1170,-1.37
1180,-1.18
