Deformation[in],Force[kip]
-1.832830236,-641.1359956
-1.842248965,-668.8929722
-1.841918824,-691.9019013
-1.861261204,-712.2257277
-1.860911643,-736.5881232
-1.860562082,-760.9505187
-1.84057884,-785.2910841
-1.83228259,-816.1413864
-1.797606131,-496.1382651
-1.80500129,-528.0888046
-1.804651729,-552.4512001
-1.804341008,-574.1066628
-1.823625128,-598.4908884
-1.843025768,-614.7543155
-1.757208522,-438.0287126
-1.766646671,-464.4322228
-1.721285295,-341.7557731
-1.728680454,-373.7063126
-1.728369733,-395.3617753
-1.767404054,-411.6470325
-1.714876675,-788.3996908
-1.732098385,-819.6844122
-1.691083218,-257.2645405
-1.690733657,-281.626936
-1.690384096,-305.9893315
-1.643018569,-186.1529783
-1.652437298,-213.9099549
-1.671799098,-232.8803149
-1.606442828,-135.3565105
-1.613946739,-159.727638
-1.605091192,-776.9083244
-1.604741631,-801.2707199
-1.60445033,-821.5727161
-1.568294062,-57.35318465
-1.575708641,-87.95025772
-1.614762382,-102.8820485
-1.538014304,21.72418229
-1.537392862,-21.58674307
-1.489561254,65.76641611
-1.499018823,40.71637234
-1.477443137,-778.7966283
-1.486881286,-805.2001385
-1.506281926,-821.4635656
-1.452985513,116.562884
-1.499756786,92.1480962
-1.414533794,173.4521337
-1.422037705,149.0810061
-1.376035467,227.093064
-1.383527726,201.9098566
-1.369603543,-768.5255646
-1.369253982,-792.8879601
-1.368962681,-813.1899564
-1.335346557,264.9006203
-1.306294147,292.679427
-1.305459085,234.4803711
-1.251917979,-760.2737855
-1.251568418,-784.636181
-1.251277117,-804.9381773
-1.220492438,333.6501653
-1.247577596,305.6028483
-1.266657805,267.0072253
-1.179791876,370.6456417
-1.195114303,-614.0339221
-1.214281903,-646.5389462
-1.184321605,-682.0346945
-1.140932336,399.1120966
-1.157769528,-479.9970866
-1.157361707,-508.4198813
-1.157012145,-532.7822769
-1.176296265,-557.1665025
-1.175946704,-581.528898
-1.134115895,-760.1428049
-1.123891233,-788.5546846
-1.153108713,-804.8290267
-1.149962664,344.2857917
-1.119259549,-427.1682361
-1.138543668,-451.5524617
-1.064856192,433.7106277
-1.110986603,364.6314482
-1.074768191,-335.0815828
-1.100674551,-354.0592195
-1.10032499,-378.421615
-1.099975429,-402.7840105
-1.056765795,-677.494033
-1.072127063,393.0979031
-1.036899074,-237.5883406
-1.062805434,-256.5659772
-1.062455873,-280.9283727
-1.062106312,-305.2907682
-1.016430331,-751.8910257
-1.016080769,-776.2534213
-1.015789469,-796.5554175
-0.986787551,466.2811421
-1.004982205,-181.3831007
-1.024237195,-207.797526
-0.95490758,433.8328763
-0.960112156,-115.6890426
-0.986018516,-134.6666792
-0.985668955,-159.0290747
-0.939157911,-663.8283882
-0.921660437,-58.79979284
-0.947450277,-85.89822799
-0.898628246,-751.7600451
-0.898278685,-776.1224406
-0.897987384,-796.4244369
-0.87721763,492.7959858
-0.876800099,463.6964579
-0.850243166,-18.79248982
-0.869556416,-41.14651581
-0.821550028,-650.1627434
-0.791196474,518.4725536
-0.771096712,-745.5275506
-0.780515441,-773.2845272
-0.799935501,-788.1944879
-0.769086735,482.7650533
-0.713438553,25.34797947
-0.704097504,-625.6693673
-0.673697342,539.7176103
-0.681104153,508.5791507
-0.663257118,-735.2564869
-0.662907557,-759.6188824
-0.662616256,-779.9208786
-0.595675309,28.18589293
-0.586644981,-601.1759911
-0.556244819,564.2109864
-0.56363221,531.7190604
-0.602666531,515.4338032
-0.545571554,-727.0047077
-0.545221993,-751.3671033
-0.544911272,-773.0225659
-0.477795544,22.90300788
-0.488709618,-584.8252436
-0.436799797,586.676346
-0.446218527,558.9193694
-0.472047206,534.527867
-0.427769469,-726.8737271
-0.427419908,-751.2361226
-0.427128607,-771.5381189
-0.390890775,-560.3536976
-0.35995462,20.32705566
-0.319230754,603.0489236
-0.328649483,575.291947
-0.354478163,550.9004447
-0.310083905,-718.621948
-0.309734344,-742.9843435
-0.309443043,-763.2863398
-0.273438252,-535.8603214
-0.242152535,20.45803629
-0.21135232,610.6130545
-0.211002759,586.2506589
-0.210711458,565.9486627
-0.18438174,-721.7305547
-0.191796319,-752.3276278
-0.23090832,-763.1990194
-0.175590279,-513.418975
-0.124428131,26.00288258
-0.113543187,635.7613337
-0.112844065,587.0365427
-0.132215575,568.7429159
-0.097346857,-493.0296584
-0.094229938,-710.2610184
-0.093880377,-734.6234139
-0.093589076,-754.9254101
0.112156751,642.1029788
0.082968401,623.798437
0.093659144,334.8406336
0.067791624,313.1560641
0.068141185,288.7936686
0.068490746,264.4312731
0.068840307,240.0688776
0.069189868,215.706482
0.069481169,195.4044858
0.111137198,28.97177665
0.1117198,-11.63221587
0.117837118,-437.9741373
0.12162403,-701.9000887
0.12992028,-732.750391
0.082997531,-746.6081407
0.15219606,588.3463489
0.125177901,418.7919349
0.105893782,394.4077093
0.106243343,370.0453138
0.170232441,471.6280621
0.144462021,443.1761606
0.219986634,653.0507757
0.20897546,508.2153156
0.228939282,29.10275727
0.229521884,-11.50123525
0.215655961,-413.5025913
