Time[s],Deformation[in]
0,0
0.858244113,0.185361317
1.595648061,-0.193367534
2.171419239,0.235117039
2.794074404,-0.195123618
3.602689524,0.618528782
4.384714141,-0.809753129
5.201070361,0.656577275
5.982747843,-0.800972707
6.693766097,1.407303321
7.457271088,-1.582430228
8.178234745,1.464376061
8.883959197,-1.585357035
9.784755886,2.188760841
10.81576273,-2.305351605
11.89680901,2.231199546
12.92745136,-2.293644376
14.13063692,2.917535833
15.48604096,-3.095589547
16.98465533,2.965828151
18.28281689,-3.061931265
20.88814815,0.077069451
21.56830962,-0.316293436
22.20088936,0.090240083
22.8238257,-0.316293436
23.69171057,0.68291854
24.47349219,-0.765851021
25.2322588,0.656577275
26.07131761,-0.774631442
26.78249208,1.446815218
27.48904965,-1.532674506
28.20928433,1.452668832
28.85898127,-1.509260048
29.87379429,2.254614003
30.84745451,-2.262912901
31.92770238,2.206321685
32.90224779,-2.236571636
34.21977946,2.992169416
35.51757652,-3.066321475
37.03396419,2.889731164
38.29527742,-3.037053403
40.91933659,0.077069451
41.54197092,-0.354927291
42.23192158,0.077069451
42.85462882,-0.348780996
43.66567388,0.669747908
44.44703894,-0.81414334
45.26355137,0.665357697
46.04491643,-0.81853355
46.81381936,1.458522447
47.46282204,-1.561942578
48.23988263,1.40291311
48.94661377,-1.561942578
49.8472369,2.197541263
50.87786189,-2.328766062
51.95932473,2.242906775
52.9898803,-2.289254165
54.26877589,2.889731164
55.54862611,-3.078028704
56.98992858,2.962901344
57.48442168,1.35023058
58.3454194,-3.042907018
60.89345611,0.077069451
61.51596548,-0.365463797
62.26321416,0.085849873
62.88582767,-0.347902954
63.63958512,0.652187065
64.42068983,-0.853655237
65.23756675,0.656577275
66.01872353,-0.844874815
66.78780003,1.446815218
67.43673328,-1.579503421
68.15752337,1.452668832
68.92066387,-1.567796192
69.64707754,1.938518826
69.82146056,2.206321685
70.79496457,-2.324375852
71.99002718,2.201931474
72.96321877,-2.355107327
74.16702917,2.908755411
75.58005753,-3.057541054
76.9640481,2.962901344
78.35354422,-3.062809307
80.92450569,0.065362222
81.54709143,-0.37073205
82.23722954,0.077069451
82.85986388,-0.354927291
83.55606296,0.603894746
84.45201712,-0.841948008
85.21137385,0.630236011
85.99284305,-0.844874815
86.76157242,1.417547146
87.41057509,-1.602917878
88.18905894,1.481936904
88.8950611,-1.544381734
89.8528052,2.219492317
90.88358641,-2.293644376
91.96404256,2.193151052
92.88044294,-2.340473291
94.25606757,2.974608573
95.55402085,-3.070711686
96.99516711,2.95704773
98.29338074,-3.066321475
100.8987641,0.077069451
101.578509,-0.351415122
102.2113491,0.077069451
102.7767791,-0.366341839
103.6448202,0.64604077
104.4258589,-0.865362465
105.1854934,0.630236011
106.0242745,-0.824387165
106.7361085,1.452668832
107.4417982,-1.599991071
108.2196225,1.429254375
108.9257983,-1.582430228
109.8836291,2.188760841
110.8578621,-2.280473744
111.9382662,2.201931474
112.9119785,-2.311205219
114.2297185,2.935096676
115.4709152,-3.083882318
116.9688701,2.921926044
118.3246108,-3.062809307
120.9298484,0.068289029
121.5528368,-0.333854279
122.2130658,-0.001954343
122.8082695,-0.340878616
123.5616833,0.630236011
124.4578111,-0.800972707
125.2169248,0.650723661
125.9982552,-0.836094394
126.7076592,1.2360851
126.823741,1.399986303
127.4737157,-1.53852812
128.1940198,1.452668832
128.9001261,-1.564869385
129.8576966,2.184370631
130.8318775,-2.289254165
131.9121254,2.17998042
133.0005483,-2.284863955
134.2052439,3.053632367
135.5091332,-2.491203862
136.9262751,1.51266838
138.0445168,-0.438048615
138.6762322,-0.104392595
