Deformation[in],Force[kip]
-1.429728925,-341.0374382
-1.43922044,207.0434832
-1.391762863,-81.8464606
-1.401254378,-94.14603245
-1.401254378,-104.9456565
-1.391762863,-353.6369997
-1.401254378,-366.5365506
-1.355695104,290.560576
-1.401254378,284.4407891
-1.363288317,229.9926844
-1.355695104,-49.98756959
-1.363288317,-64.14707671
-1.363288317,-73.74674254
-1.372779832,-381.0860442
-1.325322255,40.24928929
-1.325322255,-23.34849689
-1.325322255,-34.14812096
-1.363288317,-118.7451762
-1.315830739,-337.4375635
-1.287356193,239.4423554
-1.287356193,-12.54887282
-1.325322255,-88.1462413
-1.277864677,-348.2371876
-1.287356193,-361.7367177
-1.287356193,-372.5363418
-1.249390131,294.3404445
-1.241796919,22.0099242
-1.258881647,8.600390978
-1.287356193,-44.94774503
-1.287356193,-55.7473691
-1.203830857,250.9619544
-1.211424069,48.6489969
-1.211424069,37.84937283
-1.249390131,-23.34849689
-1.249390131,-32.34818362
-1.211424069,-329.3378455
-1.211424069,-376.1362165
-1.163966492,69.34827636
-1.173458008,57.04870451
-1.163966492,-341.0374382
-1.173458008,-353.3370101
-1.173458008,-364.1366342
-1.135491946,297.0403505
-1.127898733,91.84749317
-1.135491946,79.24793176
-1.173458008,27.04974876
-1.097525884,257.4417289
-1.088034368,108.0469293
-1.097525884,37.84937283
-1.088034368,-326.6379395
-1.050068307,122.446428
-1.097525884,68.44830769
-1.050068307,-339.2375009
-1.059559822,-352.1370519
-1.059559822,-362.9366759
-1.078542853,-370.7364044
-1.02159376,298.8402878
-1.012102245,135.4959738
-1.059559822,91.84749317
-0.976034486,266.4414156
-1.02159376,259.2416662
-0.974136183,148.5455195
-1.02159376,108.0469293
-0.983627699,35.44945637
-0.976034486,-323.578046
-0.936170121,160.2451123
-0.936170121,-341.0374382
-0.945661637,-353.3370101
-0.953254849,-365.3365924
-0.907695575,300.6402252
-0.945661637,133.2460521
-0.869729513,270.6412694
-0.860237998,175.994564
-0.907695575,145.8456135
-0.869729513,34.24949814
-0.860237998,-314.0383781
-0.869729513,-326.937929
-0.822271936,187.2441724
-0.869729513,160.2451123
-0.824170239,-237.1810534
-0.831763451,-251.3405606
-0.831763451,-262.1401846
-0.831763451,-272.9398087
-0.831763451,-283.7394328
-0.841254967,-295.1390359
-0.822271936,-336.5375949
-0.831763451,-349.7371354
-0.841254967,-361.2867334
-0.786204177,304.9600748
-0.831763451,298.8402878
-0.79379739,-178.1431085
-0.79379739,-188.9427326
-0.79379739,-199.7423567
-0.79379739,-210.5419807
-0.79379739,-221.3416048
-0.755831328,276.6410606
-0.755831328,202.5436399
-0.755831328,34.24949814
-0.746339812,-135.8445809
-0.755831328,-148.1441528
-0.755831328,-158.9437769
-0.755831328,-169.7434009
-0.755831328,-307.7385974
-0.755831328,-318.5382214
-0.710272054,-103.9856899
-0.717865266,-118.145197
-0.717865266,-127.7448629
