set_id, steel_model, inherit_from_set, E    , b_p  , b_n  , R0  , cR1   , cR2 , a1  , a2  , a3  , a4  , b_ip  , rho_ip, b_lp, R_i , l_yp, b_ic  , rho_ic, b_lc, optimize_params          , w_feat_l2, w_feat_l1, w_energy_l2, w_energy_l1, w_unordered_binenv_l2, w_unordered_binenv_l1, use_amplitude_weights, amplitude_weight_power, amplitude_weight_eps
     1, steelmpf   , -999            , 29000, 0.005, 0.025, 20  , 0.8875, 0.15, 0.04, 1   , 0.04, 1   , -999  , -999  , -999, -999, -999, -999  , -999  , -999, "b_p,b_n,cR1,cR2,a1,a3"  ,         1,         0,           0,           0,                     0,                     0, TRUE                 ,                      2,                 0.05
     3, steelmpf   , -999            , 29000, 0.005, 0.025, 20  , 0.8875, 0.15, 0.04, 1   , 0.04, 1   , -999  , -999  , -999, -999, -999, -999  , -999  , -999, "b_p,b_n,cR1,cR2,a1,a3"  ,         0,         1,           0,           0,                     0,                     0, TRUE                 ,                      2,                 0.05
