Time[s],Deformation[in]
76,-7.78978E-15
76.25,0.234076905
76.5,0.330899627
76.75,0.233886006
77,1.94441E-15
77.25,-0.233695789
77.5,-0.330361612
77.75,-0.233506252
78,-5.49989E-15
78.25,0.233317392
78.5,0.329827435
78.75,0.233129208
79,-3.22795E-16
79.25,-0.232941695
79.5,-0.329297069
79.75,-0.232754853
80,-3.22492E-15
80.25,0.232568678
80.5,0.328770487
80.75,0.232383169
81,6.76131E-15
81.25,-0.232198323
81.5,-0.328247662
81.75,-0.232014137
82,-1.02865E-14
82.25,0.23183061
82.5,0.327728567
82.75,0.231647738
83,-4.8139E-15
83.25,-0.23146552
83.5,-0.327213175
83.75,-0.231283953
84,1.28154E-15
84.25,0.231103035
84.5,0.326701461
84.75,0.230922763
85,2.23977E-15
85.25,-0.230743136
85.5,-0.326193397
85.75,-0.23056415
86,-5.75015E-15
86.25,0.230385805
86.5,0.325688958
86.75,0.230208096
87,9.24972E-15
87.25,-0.230031023
87.5,-0.325188118
87.75,-0.229854582
88,-1.27386E-14
88.25,0.229678772
88.5,0.324690851
88.75,0.22950359
89,-2.2256E-15
89.25,-0.229329034
89.5,-0.324197132
89.75,-0.229155102
90,-1.27018E-15
90.25,0.228981792
90.5,0.323706935
90.75,0.228809101
91,4.75541E-15
91.25,-0.228637027
91.5,-0.323220235
91.75,-0.228465567
92,-8.2302E-15
92.25,0.228294721
92.5,0.322737008
92.75,0.228124485
93,1.16947E-14
93.25,-0.227954858
93.5,-0.322257229
93.75,-0.227785837
94,3.15575E-15
94.25,0.227617419
94.5,0.321780872
94.75,0.227449604
95,3.1536E-16
95.25,-0.227282388
95.5,-0.321307914
95.75,-0.22711577
96,-3.77627E-15
96.25,0.226949747
96.5,0.32083833
96.75,0.226784318
97,7.2271E-15
97.25,-0.22661948
97.5,-0.320372096
97.75,-0.226455231
98,-1.06679E-14
98.25,0.226291568
98.5,0.319909189
98.75,0.226128491
99,-4.07272E-15
99.25,-0.225965996
99.5,-0.319449584
99.75,-0.225804083
100,6.25472E-16
100.25,0.225642747
100.5,0.318993258
100.75,0.225481989
101,2.81193E-15
101.25,-0.225321804
101.5,-0.318540188
101.75,-0.225162193
102,-6.23959E-15
102.25,0.225003151
102.5,0.31809035
102.75,0.224844678
103,9.65761E-15
103.25,-0.224686771
103.5,-0.317643722
103.75,-0.224529429
104,4.97722E-15
104.25,0.224372649
104.5,0.31720028
104.75,0.224216429
105,-1.55305E-15
105.25,-0.224060767
105.5,-0.316760002
105.75,-0.223905662
106,-1.86162E-15
106.25,0.223751111
106.5,0.316322865
106.75,0.223597112
107,5.26689E-15
107.25,-0.223443664
107.5,-0.315888846
107.75,-0.223290764
108,-8.66284E-15
108.25,0.22313841
108.5,0.315457924
108.75,0.222986601
109,1.20496E-14
109.25,-0.222835334
109.5,-0.315030077
109.75,-0.222684608
110,2.46806E-15
110.25,0.22253442
110.5,0.314605282
110.75,0.22238477
111,9.24635E-16
111.25,-0.222235654
111.5,-0.314183517
111.75,-0.22208707
112,-4.30824E-15
112.25,0.221939018
112.5,0.313764762
112.75,0.221791495
113,7.68286E-15
113.25,-0.221644499
113.5,-0.313348994
113.75,-0.221498029
114,-1.10486E-14
114.25,0.221352082
114.5,0.312936192
114.75,0.221206656
