Force[kip],Deformation[in]
-6.80559,0
-6.238636,-0.00058
-4.382847,-0.00203
-0.95494,-0.00058
4.060629,-0.00058
10.12537,0.00376
16.217684,0.00318
21.259167,0.008399
24.626829,0.012166
26.427364,0.016222
27.360518,0.015063
28.269712,0.024625
29.682018,0.024335
31.625414,0.026943
33.786942,0.028681
35.837185,0.02984
37.676109,0.035055
39.453831,0.038822
41.400154,0.04143
43.622696,0.044906
46.031574,0.048094
48.438732,0.053019
50.715122,0.056496
52.873688,0.057365
55.022678,0.059973
57.243248,0.064319
59.513683,0.066637
61.736691,0.068955
63.830112,0.069824
65.80381,0.075619
67.76178,0.077647
69.841499,0.080834
72.128296,0.083442
74.607773,0.086629
77.181236,0.090106
79.720032,0.094162
82.127052,0.097349
84.369568,0.100826
86.466568,0.103144
88.461266,0.105752
90.406639,0.1072
92.364822,0.110387
94.404945,0.116182
96.588295,0.115313
98.944824,0.121108
101.451866,0.124295
104.029839,0.126613
106.565422,0.13009
108.96196,0.131828
111.181686,0.137333
113.257187,0.1411
115.269577,0.141679
117.30072,0.147474
119.396416,0.150082
121.555763,0.152979
123.748825,0.157615
125.949875,0.159643
128.153427,0.164279
130.366791,0.165727
132.583206,0.168045
134.765152,0.170943
136.858276,0.17442
138.825607,0.177607
140.680008,0.181373
142.491776,0.182532
144.359955,0.189196
146.353516,0.188037
148.462585,0.194412
150.591537,0.199047
152.606689,0.200496
154.41362,0.203104
156.0121,0.206001
157.501266,0.208029
159.024521,0.212375
160.693161,0.211796
162.534866,0.217301
164.493362,0.219909
166.478607,0.224255
168.437103,0.226283
170.382446,0.230629
172.366791,0.230919
174.417847,0.237583
176.495575,0.238452
178.504257,0.241059
180.351257,0.245406
182.011002,0.247434
183.553238,0.252069
185.107956,0.250621
186.787155,0.254967
188.613754,0.258444
190.507584,0.260182
192.343536,0.26279
194.033676,0.267426
195.579636,0.268585
197.061264,0.27351
198.570908,0.272641
200.140762,0.278436
201.718872,0.281043
203.212463,0.282492
204.567474,0.285389
205.821045,0.28481
207.084808,0.288866
208.472427,0.291474
210.015839,0.294951
