Force[kip],Deformation[in]
-4.303696,0
-2.855884,0.00203
0.961142,0.00203
5.82599,0.002319
10.245212,0.00058
13.204694,0.002899
14.513677,0.002899
14.697571,0.005796
14.570253,0.005217
14.766279,0.006666
15.488092,0.005217
16.560108,0.007245
17.675108,0.01304
18.638184,0.015647
19.465229,0.018255
20.317413,0.021442
21.364496,0.02347
22.675648,0.021442
24.193411,0.027816
25.788525,0.028686
27.334396,0.033901
28.757055,0.032452
30.048698,0.03506
31.253017,0.042014
32.440445,0.043173
33.69009,0.044621
35.066685,0.049547
36.599472,0.055631
38.26923,0.056501
40.020226,0.059977
41.787182,0.062875
43.509884,0.065772
45.14465,0.069539
46.668659,0.073016
48.076847,0.075913
49.382748,0.075334
50.626911,0.082577
51.875675,0.083446
53.202438,0.086344
54.657295,0.090979
56.233444,0.093297
57.859703,0.097933
59.430428,0.10112
60.858738,0.103438
62.123253,0.103438
63.279552,0.107784
64.436661,0.114448
65.709267,0.115028
67.166428,0.118215
68.807083,0.120822
70.563553,0.126907
72.330803,0.125169
74.01368,0.131253
75.562431,0.13502
76.984619,0.132702
78.333954,0.138497
79.68161,0.138207
81.084869,0.14574
82.563171,0.14574
84.094604,0.150086
85.631744,0.152694
87.125252,0.154432
88.54805,0.159358
89.906288,0.160227
91.227654,0.165732
92.535034,0.164283
93.824074,0.170947
95.064102,0.170657
96.218201,0.175583
97.268684,0.177321
98.236794,0.180509
99.180939,0.180219
100.175797,0.183985
101.278709,0.187173
102.502121,0.191229
103.812027,0.193837
105.146744,0.197603
106.444298,0.20166
107.667419,0.204267
108.814522,0.206875
109.917542,0.209193
111.029396,0.2118
112.207489,0.218464
113.492996,0.217016
114.894051,0.224549
116.379814,0.225998
117.882774,0.227736
119.314957,0.230923
120.597557,0.23411
121.694168,0.237877
122.631813,0.238746
123.495026,0.239036
124.391258,0.243961
125.401749,0.2457
126.544083,0.249177
127.760483,0.250336
128.943359,0.25642
129.988663,0.257869
130.848038,0.260187
131.550262,0.261056
132.18544,0.264243
132.863785,0.26714
133.666428,0.270617
134.616013,0.274674
135.677887,0.273515
136.791061,0.279599
137.903458,0.280758
138.990417,0.281048
140.049652,0.285394
141.083481,0.286843
142.083786,0.287132
143.028824,0.289161
143.895584,0.296114
144.683746,0.297563
145.433548,0.299591
146.217636,0.301619
147.104584,0.301909
148.118759,0.307414
149.226257,0.308863
150.351425,0.308283
151.408752,0.313788
152.340332,0.313209
153.134491,0.317555
153.819962,0.319293
154.442841,0.318714
155.040787,0.323639
155.633728,0.323929
156.227829,0.324509
156.825363,0.327985
157.424393,0.330014
158.015762,0.329434
158.585526,0.334939
159.11937,0.334939
159.612411,0.334939
160.075806,0.337547
160.537659,0.341024
161.038116,0.341313
161.6147,0.342762
162.284317,0.346239
163.028091,0.34479
163.789993,0.347108
164.493347,0.350585
165.071411,0.350006
165.498627,0.350875
165.806778,0.351165
166.076248,0.353193
166.400375,0.35609
166.83963,0.356959
167.389557,0.358698
167.980392,0.358698
168.506226,0.361016
168.871674,0.361595
169.034286,0.362754
169.019699,0.364782
168.903107,0.363623
168.766617,0.365072
168.661728,0.36739
168.598618,0.368259
168.5616,0.371157
168.538208,0.369418
168.544601,0.370577
168.627625,0.371736
168.83165,0.372315
169.150146,0.374923
169.500015,0.375503
169.745468,0.377241
169.766205,0.376372
169.531601,0.374923
169.132782,0.37782
168.747101,0.3784
168.548096,0.378979
168.60553,0.376662
168.837555,0.379849
169.050446,0.381587
169.048492,0.381008
168.753876,0.381297
168.260422,0.379849
167.786011,0.380428
167.547073,0.381877
167.625229,0.380138
167.910217,0.380138
168.15799,0.381297
168.13765,0.383326
167.77742,0.385643
167.221558,0.383905
166.756775,0.383326
166.6521,0.383905
167.014542,0.383036
167.744797,0.384195
168.612091,0.384195
169.39563,0.382746
169.996323,0.383615
170.457565,0.387092
170.894226,0.386513
171.386581,0.386223
171.910889,0.387672
172.345428,0.386513
172.540329,0.386513
172.399521,0.386223
171.920822,0.385933
171.17543,0.386802
170.25087,0.386513
169.202942,0.385354
168.050354,0.385354
166.805954,0.386223
165.51091,0.384774
164.240036,0.385933
163.067032,0.385933
162.013016,0.387092
161.017822,0.385354
159.962128,0.384774
158.73732,0.387092
157.316925,0.387092
155.780594,0.385643
154.271759,0.385933
152.913589,0.385643
151.733215,0.385354
150.64006,0.386223
149.474823,0.385643
148.104828,0.385933
146.507919,0.383326
144.79393,0.381587
143.153549,0.380138
141.762955,0.381587
140.701279,0.381587
139.921127,0.380718
139.278732,0.380718
138.606216,0.37782
137.791138,0.3784
136.823135,0.375503
135.786682,0.376951
134.807678,0.375503
133.983139,0.372895
133.331009,0.372026
132.780182,0.372315
132.206589,0.368839
131.500214,0.369128
130.624695,0.3671
129.637436,0.36681
128.657867,0.365651
127.798416,0.365941
127.095001,0.361305
126.475624,0.362464
125.786392,0.359857
124.866882,0.360436
123.638519,0.35609
122.15303,0.353772
120.569756,0.353482
119.071976,0.349136
117.773499,0.347977
116.668076,0.347108
115.650101,0.343921
114.591286,0.343921
113.421051,0.338126
112.161774,0.339575
110.898727,0.337837
109.706581,0.333491
108.593094,0.33407
107.50016,0.327985
106.358406,0.325957
105.151848,0.324219
103.944252,0.32306
102.847145,0.320452
101.944771,0.316396
101.227821,0.316106
100.585396,0.313499
99.861183,0.31176
98.940849,0.309732
97.812004,0.307704
96.5597,0.305096
95.305511,0.303068
94.136253,0.302199
93.065613,0.298432
92.045334,0.294955
91.007591,0.292058
89.903831,0.290899
88.718788,0.286843
87.454803,0.282786
86.111069,0.281338
84.684807,0.27902
83.19278,0.276992
81.690605,0.273225
80.264442,0.272645
78.991959,0.271197
77.893982,0.265692
76.907188,0.263374
75.905159,0.259897
74.761063,0.258448
73.416252,0.253523
71.911232,0.251784
70.361214,0.251205
68.893738,0.247438
67.582588,0.245989
66.419044,0.243382
65.330605,0.238746
64.232468,0.238746
63.079609,0.23469
61.883617,0.229185
60.687538,0.228026
59.519775,0.22339
58.364719,0.221072
57.167999,0.217885
55.869392,0.215567
54.443104,0.211221
52.914158,0.208903
51.345432,0.203398
49.804008,0.203688
48.32584,0.198472
46.901836,0.198183
45.490639,0.193257
44.044888,0.191519
42.535007,0.187752
40.963078,0.184855
39.363476,0.180509
37.787083,0.17935
36.275978,0.174134
34.844841,0.173845
33.475105,0.16776
32.122978,0.168919
30.736591,0.163414
29.276457,0.157909
27.731873,0.158199
26.126648,0.152114
24.512629,0.150955
