Force[kip],Deformation[in]
51.133835,0.120912
48.05566,0.118303
45.079266,0.112794
42.347084,0.109894
39.840645,0.108734
37.381569,0.105545
34.751057,0.101195
31.857206,0.099745
28.822124,0.093946
25.914486,0.086697
23.360455,0.088437
21.1562,0.080898
19.017948,0.076259
16.527752,0.071909
13.390987,0.072779
9.644633,0.0664
5.687083,0.062051
2.097697,0.055962
-0.645828,0.054512
-2.383324,0.050453
-3.302825,0.049003
-3.787421,0.044073
-4.184839,0.044073
-4.643835,0.042914
-5.106548,0.042044
-5.431014,0.040884
-5.53807,0.041754
-5.482082,0.039724
-5.417719,0.042044
-5.495555,0.041754
-5.764664,0.042334
-6.150582,0.041464
-6.514222,0.040884
-6.743096,0.041464
-6.809895,0.040594
-6.772116,0.039144
-6.723509,0.041174
-6.731296,0.040304
-6.805129,0.041754
-6.907329,0.039144
-6.98524,0.038564
-7.005622,0.038854
-6.969201,0.037114
-6.912174,0.037404
-6.892154,0.037694
-6.957087,0.037404
-7.119615,0.036824
-7.346701,0.034505
-7.576808,0.034215
-7.751944,0.035955
-7.844799,0.034795
-7.869198,0.035955
-7.861772,0.035085
-7.854955,0.037404
-7.864012,0.032185
-7.890499,0.032475
-7.942889,0.033055
-8.058246,0.033635
-8.301661,0.033635
-8.741248,0.032185
-9.420886,0.032475
-10.350182,0.032475
-11.512679,0.033345
-12.895894,0.033635
-14.516146,0.032765
-16.413168,0.034795
-18.619457,0.031315
-21.121475,0.032475
-23.846531,0.032185
-26.682543,0.032185
-29.52199,0.030155
-32.308331,0.028996
-35.056408,0.030155
-37.835884,0.026386
-40.72953,0.026966
-43.786556,0.024356
-46.998074,0.024646
-50.303139,0.021167
-53.617889,0.021457
-56.872787,0.019717
-60.041271,0.016817
-63.149914,0.015078
-66.26123,0.014208
-69.437172,0.012468
-72.710991,0.009568
-76.076065,0.008119
-79.49762,0.007539
-82.935158,0.003769
-86.356003,0.002899
-89.736008,0.00087
-93.052917,-0.00348
-96.285126,-0.00203
-99.424477,-0.00725
-102.49086,-0.00928
-105.537468,-0.00812
-108.635483,-0.01421
-111.842163,-0.01682
-115.174316,-0.0174
-118.595604,-0.0203
-122.036484,-0.02291
-125.432503,-0.02523
-128.756317,-0.02813
-132.032578,-0.03045
-135.314728,-0.03364
-138.636932,-0.03393
-141.976196,-0.03856
-145.254196,-0.03943
-148.382553,-0.04494
-151.318985,-0.04465
-154.106033,-0.05103
-156.860886,-0.05016
-159.711884,-0.05683
-162.729233,-0.05857
-165.884216,-0.05915
-169.068207,-0.06292
-172.159424,-0.0635
-175.095001,-0.06756
-177.901474,-0.06872
-180.665375,-0.0751
-183.47319,-0.07307
-186.359055,-0.07713
-189.29126,-0.07974
-192.204956,-0.08061
-195.0578,-0.08757
-197.861435,-0.08815
-200.669815,-0.09105
-203.532211,-0.09105
-206.447433,-0.09337
-209.357086,-0.0983
-212.184418,-0.10091
-214.885925,-0.10323
-217.484161,-0.10584
-220.057434,-0.10699
-222.687546,-0.10989
-225.40329,-0.11453
-228.161957,-0.11627
-230.885056,-0.11627
-233.523895,-0.12236
-236.103348,-0.12265
-238.707382,-0.12816
-241.416565,-0.12816
-244.237885,-0.13164
-247.081955,-0.13512
-249.811096,-0.13396
-252.323593,-0.1386
-254.620773,-0.13889
-256.810608,-0.1444
-259.042542,-0.14498
-261.418335,-0.1444
-263.934875,-0.14962
-266.496613,-0.15049
-268.981628,-0.15513
-271.314453,-0.15484
-273.504089,-0.15948
-275.625793,-0.16064
-277.76651,-0.16093
-279.971191,-0.16528
-282.221924,-0.16586
-284.463684,-0.17166
-286.648499,-0.17282
-288.765564,-0.17514
-290.841125,-0.1789
-292.909943,-0.17832
-294.985413,-0.18296
-297.048218,-0.18209
-299.058411,-0.18441
-300.985077,-0.18963
-302.827637,-0.18789
-304.609802,-0.18731
-306.358215,-0.19485
-308.084991,-0.19311
-309.783478,-0.19543
-311.441467,-0.20094
-313.059998,-0.19978
-314.661926,-0.20384
-316.280334,-0.20442
-317.936005,-0.20558
-319.613251,-0.20761
-321.250366,-0.21022
-322.76236,-0.21051
-324.085693,-0.21254
-325.217682,-0.21718
-326.227386,-0.2166
-327.230011,-0.21863
-328.334991,-0.22153
-329.588196,-0.22066
-330.945282,-0.22414
-332.297729,-0.2282
-333.536194,-0.22675
-334.612915,-0.22936
-335.567291,-0.23168
-336.503265,-0.23342
-337.526001,-0.23429
-338.673126,-0.23574
-339.886688,-0.23603
-341.042633,-0.24009
-342.020691,-0.2398
-342.777039,-0.24096
-343.378418,-0.24067
-343.965088,-0.24299
-344.6698,-0.24357
-345.536926,-0.24589
-346.494476,-0.24791
-347.389862,-0.24762
-348.073517,-0.24965
-348.47937,-0.25226
-348.664215,-0.25197
-348.782471,-0.2511
-349.010773,-0.25139
-349.458923,-0.25487
-350.115387,-0.254
-350.854889,-0.25777
-351.506165,-0.25835
-351.942841,-0.25806
-352.143524,-0.25806
-352.194244,-0.2627
-352.23053,-0.26328
-352.356506,-0.26328
-352.593353,-0.26386
-352.880981,-0.26386
-353.123505,-0.26444
-353.246277,-0.26705
-353.22702,-0.26966
-353.088989,-0.26908
-352.868317,-0.26821
-352.585968,-0.26966
-352.25058,-0.27169
-351.882507,-0.27111
-351.533203,-0.27111
-351.278107,-0.27517
-351.178619,-0.27488
-351.238617,-0.27459
-351.39032,-0.27343
-351.522186,-0.27488
-351.535278,-0.27372
-351.394379,-0.27865
-351.147308,-0.27662
-350.904144,-0.2772
-350.792023,-0.27836
-350.908997,-0.27749
-351.291992,-0.27865
-351.905609,-0.27691
-352.651672,-0.27691
-353.401062,-0.27691
-354.033478,-0.27749
-354.477753,-0.27807
-354.738312,-0.2772
-354.89325,-0.2772
-355.055878,-0.27691
-355.314667,-0.27749
-355.679077,-0.27691
-356.058044,-0.27894
-356.281403,-0.2772
-356.156555,-0.27749
-355.537231,-0.27662
-354.371826,-0.27749
-352.712402,-0.27662
-350.69339,-0.27778
-348.492828,-0.27923
-346.291351,-0.27778
-344.233276,-0.27691
-342.399323,-0.27865
-340.788971,-0.27691
-339.328735,-0.27778
-337.907776,-0.27575
-336.432098,-0.27749
-334.864258,-0.27633
-333.231018,-0.27749
-331.594849,-0.2772
-330.006073,-0.27546
-328.468994,-0.27691
-326.937653,-0.27604
-325.338531,-0.27749
-323.607483,-0.27517
-321.717285,-0.27633
-319.687866,-0.27575
-317.579895,-0.27575
-315.477783,-0.27633
-313.465668,-0.2772
-311.605438,-0.27633
-309.92395,-0.27662
-308.409698,-0.27778
-307.020447,-0.27662
-305.698486,-0.27662
-304.386078,-0.27749
-303.035126,-0.27807
-301.605103,-0.27691
-300.063507,-0.27488
-298.391449,-0.27372
-296.596588,-0.2743
-294.722565,-0.27111
-292.835999,-0.2714
-290.996582,-0.27198
-289.223755,-0.27198
-287.486511,-0.26937
-285.724152,-0.26734
-283.892914,-0.26618
-282.004181,-0.26589
-280.128571,-0.26502
-278.34906,-0.26212
-276.698792,-0.26038
-275.126038,-0.2598
-273.519104,-0.26096
-271.775543,-0.26038
-269.867065,-0.25458
-267.856415,-0.25545
-265.851166,-0.25632
-263.930542,-0.25226
-262.09201,-0.24965
-260.250671,-0.24965
-258.29422,-0.24907
-256.151581,-0.24791
-253.832458,-0.24415
-251.411224,-0.24444
-248.974213,-0.23951
-246.569824,-0.23835
-244.192154,-0.23545
-241.805603,-0.23632
-239.386124,-0.23284
-236.946594,-0.22936
-234.524963,-0.23168
-232.14946,-0.2282
-229.810333,-0.22559
-227.459213,-0.22501
-225.04657,-0.22182
-222.5634,-0.21863
-220.055359,-0.21602
-217.596344,-0.21428
-215.238449,-0.21544
-212.972137,-0.2108
-210.724457,-0.2079
-208.400909,-0.20587
-205.946915,-0.20326
-203.384888,-0.20268
-200.800415,-0.20007
-198.288208,-0.19688
-195.893539,-0.1963
-193.583755,-0.19224
-191.269684,-0.18876
-188.863388,-0.18731
-186.334305,-0.18673
-183.725906,-0.18528
-181.12619,-0.18296
-178.610931,-0.17919
-176.194061,-0.17977
-173.820175,-0.17543
-171.399689,-0.17398
