Force[kip],Deformation[in]
1.984001,0
3.066968,-0.00029
6.097213,0.00058
10.489201,0.001449952
15.483576,-0.00029
20.393465,-0.00029
24.809629,0.00058
28.687061,0
32.287292,0.00087
36.008446,0.003478
40.177307,0.006665
44.904144,0.004927
50.070553,0.010722
55.433823,0.01246
60.774269,0.017096
66.001617,0.015937
71.16391,0.022891
76.372337,0.021442
81.703392,0.028685
87.152718,0.028685
92.663345,0.032742
98.185287,0.035349
103.715118,0.038247
109.297539,0.039406
114.991837,0.043462
120.836517,0.046359
126.83992,0.051864
132.990814,0.052734
139.261795,0.0565
145.599686,0.057369
151.922226,0.060267
158.141129,0.064903
164.205246,0.063164
170.137146,0.065192
176.029678,0.068669
181.993179,0.070408
188.079071,0.072726
194.237778,0.076202
200.350494,0.080549
206.307953,0.081708
212.085907,0.086054
217.76683,0.085474
223.49382,0.091559
229.378632,0.092718
235.426849,0.096194
241.535034,0.096774
247.561295,0.101989
253.418625,0.104307
259.128235,0.107204
264.800964,0.107494
270.558136,0.11242
276.444427,0.11242
282.397644,0.119084
288.292084,0.118504
294.020294,0.121981
299.556366,0.12285
304.958893,0.126907
310.321747,0.126907
315.707855,0.132412
321.117187,0.131543
326.511108,0.138786
331.862335,0.138496
337.188141,0.138496
342.537292,0.142553
347.944885,0.143422
353.393646,0.148637
358.817078,0.148637
364.144287,0.154722
369.353668,0.152404
374.493774,0.15704
379.646698,0.15704
384.865601,0.159068
390.127991,0.160227
395.339447,0.163993
400.394989,0.168339
405.253479,0.170078
409.971954,0.173265
414.680206,0.173265
419.512146,0.175873
424.531616,0.17848
429.70108,0.17877
434.908264,0.179929
440.032349,0.183695
445.001099,0.186013
449.811951,0.188911
454.515442,0.1892
459.175079,0.192388
463.828857,0.193836
468.473999,0.194706
473.082581,0.20137
477.627686,0.20108
482.098328,0.199631
486.509277,0.206005
490.893219,0.204557
495.275848,0.207744
499.652405,0.211221
503.979187,0.210641
508.189758,0.215856
512.231384,0.217015
516.102783,0.217595
519.870544,0.221941
523.642334,0.221941
527.506226,0.222231
531.476257,0.225128
535.474182,0.228025
539.370789,0.226577
543.060608,0.232661
546.528503,0.233241
549.867737,0.232082
553.228088,0.235559
556.730042,0.237587
560.394653,0.236718
564.130066,0.238166
567.789246,0.243092
571.25647,0.242512
574.520569,0.242512
577.685181,0.250335
580.91449,0.249176
584.349304,0.249756
588.04071,0.249176
591.934387,0.254102
595.903198,0.255261
599.799561,0.257869
603.500549,0.259897
606.92865,0.260766
610.060303,0.259897
612.916687,0.263374
615.550781,0.265981
618.034607,0.265402
620.443237,0.266271
622.834839,0.266271
625.238953,0.271196
627.663208,0.271486
630.110657,0.271486
632.599609,0.272935
635.160217,0.276122
637.816406,0.27786
640.555603,0.276412
643.312073,0.277281
645.980042,0.276702
648.466309,0.280468
650.737488,0.280758
652.83429,0.283365
654.838806,0.282786
656.819275,0.282207
658.77655,0.284235
660.639221,0.285973
662.310608,0.287422
663.734314,0.291188
664.939758,0.291188
666.030945,0.28916
667.129333,0.288871
668.309204,0.28974
669.57251,0.292058
670.882629,0.292927
672.224548,0.294665
673.644531,0.294086
675.228882,0.294376
677.035767,0.294955
679.024719,0.294955
681.042908,0.298142
682.888428,0.297273
684.415222,0.298432
685.618469,0.299881
686.63855,0.299301
687.673523,0.30017
