Force[kip],Deformation[in]
234.01622,0.078
225.3414,0.07945
216.532669,0.07568
207.531799,0.071621
198.363739,0.070751
189.128082,0.066981
179.938416,0.066981
170.850861,0.063212
161.83194,0.060602
152.790375,0.061182
143.64566,0.055093
134.379166,0.054223
125.028175,0.050744
115.630432,0.051324
106.174919,0.047554
96.609283,0.043495
86.91349,0.039725
77.180748,0.038565
67.62352,0.037406
58.472599,0.031606
49.825188,0.033636
41.54987,0.027837
33.340984,0.027257
24.926128,0.026097
16.315548,0.022618
7.930575,0.020878
0.506,0.019428
-5.206583,0.017688
-8.786211,0.017688
-10.349906,0.016528
-10.504115,0.015659
-10.072422,0.017688
-9.753376,0.016818
-9.8873,0.015949
-10.434222,0.015949
-11.131277,0.014789
-11.706266,0.017398
-12.024715,0.017108
-12.116355,0.017398
-12.103656,0.015949
-12.106191,0.016239
-12.184972,0.017108
-12.342172,0.016239
-12.552184,0.018268
-12.792295,0.016239
-13.055101,0.016528
-13.342392,0.016818
-13.659431,0.017108
-14.010206,0.016528
-14.393925,0.016528
-14.803038,0.017398
-15.22121,0.017108
-15.622938,0.016528
-15.985956,0.017398
-16.308464,0.014789
-16.606394,0.015079
-16.89625,0.013049
-17.179495,0.013629
-17.444321,0.013629
-17.684988,0.014209
-17.920507,0.013919
-18.192034,0.014499
-18.536901,0.012759
-18.95928,0.014789
-19.423359,0.014499
-19.880987,0.013919
-20.31391,0.014499
-20.765903,0.013339
-21.341976,0.013919
-22.177509,0.013339
-23.402996,0.013919
-25.127756,0.013919
-27.452662,0.013919
-30.494793,0.009859
-34.391895,0.010729
-39.268681,0.00928
-45.183987,0.00841
-52.088543,0.00667
-59.818665,0.00551
-68.136597,0.00232
-76.799477,0.00319
-85.620781,-0.00087
-94.502625,-0.00319
-103.431038,-0.00609
-112.443916,-0.00841
-121.598251,-0.00957
-130.945877,-0.01421
-140.519562,-0.01247
-150.323334,-0.01943
-160.323929,-0.01972
-170.452347,-0.0203
-180.624512,-0.02349
-190.776184,-0.02465
-200.893372,-0.02726
-211.019577,-0.03044
-221.23085,-0.03305
-231.590668,-0.03334
-242.106186,-0.03914
-252.714478,-0.04175
-263.302826,-0.04697
-273.754517,-0.0461
-283.995789,-0.04784
-294.021271,-0.04987
-303.886841,-0.05306
-313.676331,-0.05712
-323.460175,-0.05886
-333.266083,-0.0635
-343.076904,-0.06263
-352.84848,-0.06495
-362.5401,-0.06959
-372.144043,-0.06988
-381.698181,-0.07104
-391.277802,-0.07423
-400.960114,-0.07684
-410.778809,-0.07945
-420.691589,-0.08003
-430.583984,-0.08322
-440.315063,-0.08641
-449.786896,-0.0867
-459.002197,-0.09221
-468.076263,-0.0925
-477.190063,-0.09801
-486.505035,-0.09772
-496.079132,-0.09974
-505.829865,-0.1009
-515.57074,-0.1038
-525.09613,-0.10409
-534.276184,-0.10757
-543.109009,-0.10931
-551.705017,-0.1096
-560.219543,-0.11772
-568.775574,-0.11772
-577.419922,-0.1212
-586.122498,-0.12207
-594.81366,-0.12236
-603.424683,-0.12787
-611.918579,-0.12816
-620.294617,-0.12787
-628.577087,-0.13396
-636.800232,-0.13367
-644.991943,-0.13309
-653.161255,-0.13802
-661.291443,-0.13889
-669.343811,-0.14121
-677.275146,-0.14324
-685.061584,-0.14324
-692.716187,-0.14875
-700.288147,-0.14962
-707.836548,-0.14904
-715.395996,-0.15223
-722.950073,-0.15542
-730.436707,-0.15484
-737.783142,-0.16209
-744.946777,-0.1618
-751.93634,-0.16238
-758.803467,-0.16586
-765.610229,-0.16673
-772.401001,-0.16673
-779.196899,-0.17107
-786.018005,-0.17223
-792.904602,-0.17223
-799.920715,-0.17339
-807.125427,-0.17629
-814.529419,-0.17745
-822.066711,-0.17948
-829.606323,-0.18209
-837.004761,-0.18354
-844.165833,-0.18499
-851.078186,-0.18847
-857.806335,-0.18905
-864.442993,-0.18702
-871.054443,-0.19514
-877.645752,-0.19311
-884.167664,-0.19572
-890.55719,-0.19833
-896.783325,-0.20036
-902.867676,-0.20007
-908.870117,-0.2021
-914.854614,-0.20616
-920.852417,-0.20471
-926.852173,-0.20732
-932.811768,-0.21167
-938.68811,-0.21022
-944.460144,-0.21167
-950.133362,-0.21196
-955.725891,-0.21631
-961.248901,-0.21718
-966.698547,-0.2195
-972.058716,-0.22182
-977.315674,-0.22269
-982.467773,-0.22356
-987.526733,-0.22443
-992.505493,-0.22356
-997.409302,-0.22646
-1002.232361,-0.22791
-1006.96936,-0.22791
-1011.62561,-0.22965
-1016.223267,-0.2282
-1020.786987,-0.23545
-1025.328125,-0.23545
-1029.83374,-0.23545
-1034.269287,-0.23632
-1038.593262,-0.23603
-1042.778076,-0.23574
-1046.818726,-0.23835
-1050.733032,-0.24008
-1054.550049,-0.24124
-1058.293823,-0.24037
-1061.977173,-0.24182
-1065.598022,-0.24356
-1069.14502,-0.2424
-1072.605225,-0.24617
-1075.96936,-0.24675
-1079.232788,-0.24675
-1082.391724,-0.24704
-1085.437256,-0.25023
-1088.350464,-0.25139
-1091.101929,-0.2511
-1093.662476,-0.25139
-1096.015869,-0.25255
-1098.171631,-0.25313
-1100.171509,-0.25226
-1102.079102,-0.25313
-1103.959839,-0.25632
-1105.85083,-0.25574
-1107.743042,-0.25719
-1109.581177,-0.25806
-1111.289185,-0.25806
-1112.804199,-0.25748
-1114.109253,-0.25806
-1115.24353,-0.25806
-1116.286743,-0.25922
-1117.328491,-0.25835
-1118.435547,-0.26125
-1119.627197,-0.25922
-1120.869751,-0.26067
-1122.085205,-0.26183
-1123.185059,-0.26328
-1124.10498,-0.26154
-1124.835938,-0.26067
-1125.42688,-0.26212
-1125.95752,-0.26212
-1126.492798,-0.26328
-1127.044067,-0.2627
-1127.562744,-0.26212
-1127.96875,-0.26328
-1128.201782,-0.26212
-1128.264282,-0.26241
-1128.22644,-0.26357
-1128.180054,-0.26647
-1128.176392,-0.2656
-1128.18457,-0.26531
-1128.105347,-0.26531
-1127.843384,-0.26589
-1127.386719,-0.26444
-1126.840454,-0.26647
-1126.387695,-0.26589
-1126.192627,-0.26676
-1126.298584,-0.26531
-1126.58313,-0.2656
-1126.795654,-0.26531
-1126.659302,-0.26647
-1125.984863,-0.26444
-1124.738892,-0.26531
-1123.033691,-0.2656
