Force[kip],Deformation[in]
3.176726,0
3.316932,0.00203
3.690294,-0.00087
4.175801,0
4.628033,0.00058
4.930841,-0.00029
5.03222,-0.00029
4.946997,-0.00145
4.735896,0
4.472256,0.00145
4.211505,0.00087
3.980661,-0.00087
3.789503,0.00087
3.651472,0.00029
3.594057,0
3.648863,-0.00029
3.826221,-0.00058
4.094708,0.00058
4.383976,0.00116
4.615351,0.00029
4.751126,0.00087
4.833444,0.00087
4.991339,-0.00029
5.410507,-0.00058
6.279743,0.00058
7.729048,0.00058
9.77534,0.00145
12.317276,0.00087
15.179177,-0.00029
18.182611,0.00087
21.217468,-0.00029
24.271461,0
27.410793,0
30.728321,0.00029
34.291943,0.00174
38.114216,0.00058
42.149399,0.00029
46.311848,0.00087
50.509197,0.00174
54.680145,0
58.81411,0.0029
62.947582,0.00406
67.14164,0.00435
71.450882,0.00203
75.897438,0.00609
80.457741,0.0058
85.071945,0.00522
89.668655,0.0116
94.191032,0.01131
98.618149,0.0116
102.967735,0.0145
107.28241,0.0174
111.598869,0.0174
115.920906,0.022039
120.221497,0.020009
124.468437,0.024359
128.652573,0.028418
132.8004,0.031318
136.962494,0.030448
141.180084,0.032477
145.453705,0.035667
149.739517,0.037407
153.972763,0.037407
158.10434,0.042046
162.125443,0.043786
166.067551,0.047555
169.977798,0.047555
173.884613,0.053644
177.78009,0.053354
181.630661,0.060603
185.406067,0.060603
189.101501,0.064953
192.740707,0.063793
196.364838,0.067562
200.007462,0.069302
203.67598,0.070462
207.350647,0.074811
210.998688,0.073941
214.591385,0.078871
218.113754,0.079451
221.573318,0.08438
224.994522,0.08467
228.40538,0.08554
231.826981,0.089309
235.270935,0.091919
238.73967,0.095108
242.22493,0.094529
245.709579,0.098878
249.167847,0.100618
252.570953,0.100908
255.897476,0.102937
259.144287,0.104967
262.332458,0.109026
265.503418,0.110476
268.698944,0.110186
271.942291,0.114246
275.225311,0.117725
278.510468,0.119175
281.747345,0.118015
284.89682,0.122655
287.947021,0.125264
290.909241,0.123524
293.803101,0.129324
296.642975,0.130773
299.43045,0.130773
302.159729,0.129903
304.835449,0.136862
307.482544,0.137152
310.139557,0.142082
312.835327,0.143242
315.564117,0.140922
318.279327,0.143822
320.917419,0.147591
323.436981,0.147881
325.853058,0.149041
328.237213,0.15339
330.679474,0.15397
333.235535,0.15455
335.892609,0.158319
338.570251,0.159189
341.15686,0.161509
343.564758,0.160639
345.77002,0.164699
347.814606,0.167598
349.783417,0.167018
351.769562,0.167018
353.841858,0.171368
356.023254,0.170788
358.290344,0.171947
360.588287,0.172817
362.852203,0.172527
365.030121,0.178906
367.098419,0.177747
369.06601,0.178906
370.960297,0.178037
372.808868,0.181806
374.629974,0.183546
376.432861,0.183546
378.223236,0.182096
380.007446,0.185576
381.792114,0.187025
383.579803,0.189925
385.365845,0.188185
387.140778,0.190795
388.898315,0.192535
390.640198,0.195144
392.369141,0.193984
394.074127,0.195144
395.7211,0.196594
397.263092,0.197754
398.66333,0.196884
399.920502,0.201813
401.074707,0.200653
402.187744,0.202103
403.310242,0.203843
404.456024,0.203843
405.598114,0.202393
406.685394,0.204133
407.674164,0.202393
408.552643,0.204133
409.345123,0.207612
410.095459,0.206743
410.845642,0.207902
411.62265,0.208192
412.437561,0.208482
413.293213,0.208192
414.191437,0.208772
415.127411,0.207322
416.076569,0.208482
416.996796,0.208482
417.848328,0.211962
418.626648,0.213991
419.383057,0.212252
420.217682,0.212832
421.234558,0.213991
422.484314,0.214281
423.929169,0.212832
425.451904,0.213702
426.904877,0.214281
428.168823,0.215731
429.193054,0.217181
430.000061,0.215731
430.653992,0.216601
431.223175,0.215151
431.758301,0.217471
432.294189,0.216891
432.854492,0.215441
433.452728,0.216891
434.074005,0.215731
434.656494,0.217181
435.09259,0.216891
435.259277,0.216311
435.071777,0.217181
434.530975,0.213991
433.734528,0.215731
432.836365,0.217181
431.978485,0.216021
431.230774,0.216311
430.5784,0.215441
429.951996,0.214861
429.278076,0.216891
428.5065,0.215441
427.600433,0.217181
426.503784,0.215731
425.122589,0.216311
423.355438,0.217181
421.161987,0.216601
418.623077,0.218341
415.939911,0.216891
413.358826,0.215441
411.060547,0.217471
409.079651,0.217471
407.310608,0.216021
