Time[s],Deformation[in]
0,0
0.504541367,0.208418284
0.86227518,1.482299502
1.522706835,3.120982844
2.128102518,1.472545434
2.375764388,0.044735742
2.568390288,-1.044003985
3.256339928,-2.989497087
3.944289568,-1.083020255
4.136915468,0.041948866
4.384577338,1.433529164
4.989973022,3.072212507
5.595368705,1.501807637
5.843030576,0.154120642
6.035656475,-1.044003985
6.723606115,-2.962895085
7.411555755,-1.10252839
7.63169964,0.067959712
7.851843525,1.443283232
8.484757194,3.072212507
9.090152878,1.485550858
9.310296763,0.143824682
9.530440647,-1.083020255
10.21839029,-2.930440642
10.93385791,-1.06351212
11.09896583,0.03869751
11.37414568,1.482299502
11.97954137,3.062458439
12.58493705,1.462791367
12.83259892,0.033278583
13.05274281,-1.070014831
13.74069245,-2.905080066
14.4011241,-1.053758052
14.59375,-0.003570116
14.84141187,1.433529164
15.44680755,3.052704372
16.07972122,1.472545434
16.29986511,0.172003099
16.54752698,-1.122036525
17.20795863,-2.899227626
17.89590827,-1.083020255
18.11605216,0.152494964
18.36371403,1.521315772
18.96910971,3.052704372
19.5745054,1.433529164
19.82216727,0.028352287
20.01479317,-1.10252839
20.67522482,-2.899227626
21.39069245,-1.044003985
21.58331835,0.126484117
21.83098022,1.501807637
22.46389388,3.052704372
23.04177158,1.482299502
23.28943345,0.074462424
23.48205935,-1.083020255
24.17000899,-2.908114665
24.85795863,-1.073266187
25.05058453,0.101195794
25.2982464,1.462791367
25.93116007,3.052704372
26.50903777,1.521315772
26.75669964,0.092344881
26.97684353,-1.096025678
27.66479317,-2.897276812
28.32522482,-1.122036525
28.54536871,0.094783398
28.82054856,1.511561704
29.39842626,3.052704372
30.03133993,1.423775097
30.2790018,0.054954289
30.4716277,-1.083020255
31.13205935,-2.901178439
31.84752698,-1.044003985
32.04015288,0.172003099
32.28781475,1.492053569
32.89321043,3.052704372
33.49860612,1.482299502
33.74626799,0.106975982
33.93889388,-1.073266187
34.59932554,-2.90703088
35.31479317,-1.10252839
35.50741906,0.070746589
35.75508094,1.443283232
36.36047662,3.052704372
36.9658723,1.492053569
37.21353417,0.13732197
37.43367806,-1.089522966
38.1216277,-2.903129253
38.78205935,-1.073266187
38.97468525,0.041948866
39.22234712,1.453037299
39.88277878,3.101474709
40.46065647,1.472545434
40.68080036,0.115646265
40.90094424,-1.083020255
41.58889388,-2.905080066
42.19428957,-1.112282457
42.41443345,0.097221915
42.66209532,1.472545434
43.23997302,3.133175429
43.84536871,1.453037299
44.12054856,0.136238185
44.47916667,-1.033846154
44.94791667,-1.661538462
45.41389388,-1.06351212
46.01928957,0.130819258
46.51041667,0.443076923
47.00993705,0.208063591
47.45022482,0.091369474
48.8261241,0.048451577
49.45903777,0.048451577
50.97252698,0.048451577
51.44033273,0.048451577
