Force[kip],Deformation[in]
-8.371549,0
-6.260606,0.00058
-0.551603,0.00058
7.116933,-0.00058
14.697135,0.00087
20.462336,-0.00029
23.576275,0.00058
24.299068,0.00116
23.771187,0.00203
23.494322,0.00087
24.755623,0.00116
28.221893,0.00029
33.837326,0.00174
41.014233,-0.00116
48.982311,-0.00058
57.124069,0.00058
65.155777,-0.00029
73.118958,0.00087
81.231026,0.00145
89.707451,-0.00029
98.644791,0.00638
108.001678,0.00638
117.658272,0.009279
127.493202,0.010729
137.424927,0.013919
147.408585,0.013629
157.427612,0.020008
167.492767,0.020878
177.632675,0.022038
187.869553,0.026677
198.197998,0.026097
208.596542,0.031606
219.048874,0.034216
229.548691,0.034796
240.084564,0.037695
250.63063,0.040595
261.156921,0.042625
271.647766,0.042335
282.106445,0.045814
292.534851,0.050164
302.907166,0.050164
313.153351,0.053933
323.18042,0.055673
332.925568,0.059442
342.409119,0.063502
351.742004,0.063792
361.078857,0.064082
370.540894,0.068141
380.151764,0.066981
389.824432,0.071041
399.410797,0.07307
408.7901,0.07481
417.935181,0.07887
426.923767,0.07887
435.886658,0.082349
444.933472,0.084379
454.096069,0.085249
463.31958,0.089598
472.499359,0.090758
481.537964,0.092498
490.390594,0.094817
499.076691,0.097137
507.662292,0.103226
516.225525,0.100326
524.825806,0.104386
533.478699,0.106706
542.145874,0.110475
550.748779,0.109315
559.198608,0.112215
567.428101,0.113954
575.417847,0.115114
583.209473,0.117724
590.895691,0.120334
598.585205,0.120624
606.358154,0.124393
614.23291,0.126133
622.163757,0.125263
630.069519,0.130482
637.875061,0.130192
645.542114,0.132512
653.077148,0.135991
660.508179,0.137151
667.853577,0.135991
675.107056,0.141501
682.249329,0.14266
689.276428,0.141791
696.218445,0.14817
703.129883,0.14788
710.062805,0.150489
717.03479,0.151939
724.015991,0.153679
730.953003,0.155709
737.809875,0.156868
744.587585,0.159768
751.318726,0.162088
758.035583,0.162378
764.740234,0.163247
771.400879,0.165277
777.980042,0.166437
784.469849,0.166727
790.903931,0.167307
797.331604,0.171946
803.765869,0.172236
810.153748,0.173396
816.39624,0.181515
822.414917,0.179195
828.217102,0.178035
833.913757,0.178035
839.669495,0.184704
845.603516,0.184994
851.709473,0.183835
857.849426,0.187314
863.829102,0.190794
869.504089,0.188184
874.851868,0.192243
879.970459,0.193403
885.007141,0.202682
890.058105,0.194273
895.109985,0.196593
900.061218,0.199492
904.803589,0.198622
909.310913,0.199492
913.676208,0.202682
918.076904,0.203552
922.68457,0.202682
927.567017,0.204132
932.62915,0.207031
937.630371,0.210801
942.280945,0.209641
946.376282,0.209931
949.907654,0.21283
953.098694,0.21544
956.332947,0.21457
959.995911,0.21602
964.299988,0.21312
969.181274,0.21573
974.323181,0.21747
979.296021,0.221239
983.746765,0.221529
987.55188,0.222399
990.848267,0.223269
993.94342,0.223269
997.150574,0.225589
1000.643005,0.226168
1004.394287,0.225009
1008.215759,0.228778
1011.862488,0.230228
1015.144409,0.228198
1017.992432,0.233127
1020.464172,0.230808
1022.691528,0.231678
1024.81604,0.233417
1026.93042,0.234287
1029.05542,0.233417
1031.147827,0.234577
1033.141724,0.232838
1034.994995,0.234577
1036.715698,0.237767
1038.361328,0.236027
1040.015259,0.236027
1041.750732,0.239797
1043.60791,0.240376
1045.592041,0.240086
1047.682983,0.237477
1049.851929,0.239507
1052.054199,0.240956
1054.21521,0.242696
1056.223145,0.245016
1057.946899,0.242986
1059.275269,0.244146
1060.159302,0.246176
1060.63208,0.245016
1060.799194,0.246466
1060.798218,0.245016
1060.753052,0.245886
1060.742798,0.244436
1060.813599,0.246176
1061.000244,0.244436
1061.343628,0.246466
1061.885742,0.244146
1062.646362,0.245886
1063.589233,0.245596
1064.61145,0.245596
