Deformation[in],Force[kip]
-2.554220462,-727.5054475
-2.561274941,-754.7270946
-2.538543841,-657.0523251
-2.541679165,-682.6687558
-2.541679165,-701.8784329
-2.53776001,-775.5111185
-2.54559832,-799.5320347
-2.52286722,-603.2475896
-2.526002545,-629.290902
-2.522083389,-815.5136393
-2.506406769,-556.165359
-2.510325924,-578.0474567
-2.506406769,-729.0524527
-2.510325924,-750.9345504
-2.494649303,-518.2663772
-2.494649303,-538.5432585
-2.491513979,-650.5961802
-2.494649303,-676.2126109
-2.494649303,-695.422288
-2.494649303,-708.2287394
-2.490730148,-767.4541671
-2.494649303,-791.4706734
-2.484198223,-475.5664461
-2.478972683,-496.9046518
-2.475837359,-605.7559606
-2.478972683,-628.1707785
-2.478972683,-820.2675493
-2.463296062,-441.6591905
-2.463296062,-562.5200754
-2.463296062,-580.1289461
-2.444484118,-411.7029427
-2.444484118,-513.5142312
-2.447619442,-539.5575436
-2.463296062,-650.5644287
-2.447619442,-752.9984
-2.447619442,-772.2080771
-2.447619442,-791.4177542
-2.428023666,-383.1900666
-2.428023666,-463.2303878
-2.431942821,-486.1796898
-2.447619442,-599.3209834
-2.431942821,-817.0130172
-2.413130876,-345.7144385
-2.416266201,-368.769579
-2.412347045,-440.8014581
-2.431942821,-560.8839895
-2.40058958,-318.593338
-2.396670425,-411.9693027
-2.416266201,-509.6405442
-2.416266201,-528.8502213
-2.397454256,-755.5032431
-2.40058958,-780.6927921
-2.40058958,-799.9024692
-2.3901385,-274.8262026
-2.384912959,-304.7020426
-2.380993804,-392.7419859
-2.40058958,-471.2035503
-2.40058958,-490.4132274
-2.384912959,-820.1617108
-2.377074649,-242.2617722
-2.369236339,-341.5029506
-2.369236339,-364.4478426
-2.377074649,-432.7577366
-2.384912959,-455.1778464
-2.361398029,-218.2320361
-2.353559718,-746.4893359
-2.353559718,-765.699013
-2.353559718,-784.90869
-2.349640563,-807.31557
-2.345721408,-179.7950422
-2.337883098,-205.3991251
-2.337883098,-285.4394463
-2.337883098,-304.6491234
-2.337883098,-323.8588004
-2.353559718,-381.5054714
-2.353559718,-397.5135356
-2.337883098,-818.5079852
-2.330044787,-154.1644997
-2.318287322,-248.5988489
-2.322206477,-270.4809466
-2.337883098,-343.0684775
-2.337883098,-359.0765417
-2.314368167,-125.3323444
-2.306529857,-225.640727
-2.302610701,-748.0328132
-2.306529857,-769.9149109
-2.306529857,-789.124588
-2.306529857,-809.6682704
-2.287717912,-99.68945402
-2.287717912,-180.3700978
-2.290853236,-206.4134102
-2.306529857,-298.2106182
-2.275176615,-76.19684803
-2.27125746,-152.4975443
-2.290853236,-246.9671729
-2.290853236,-262.9752371
-2.259499995,-50.83310659
-2.259499995,-129.5394224
-2.275176615,-227.7398561
-2.259499995,-739.9802718
-2.259499995,-759.1899488
-2.259499995,-778.3996259
-2.25558084,-800.8065059
-2.267338305,-813.6261871
-2.243823374,-22.80135444
-2.24068805,-106.0397605
-2.251661685,-176.4875909
-2.259499995,-202.1093136
-2.228146754,-72.40871382
-2.233372294,-146.5852913
-2.212470133,28.45973058
-2.209334809,-44.53351437
-2.209334809,-742.4851149
-2.212470133,-767.6746639
-2.212470133,-786.8843409
-2.216389288,-805.5648258
-2.196793513,49.82145596
-2.196793513,-16.34520953
-2.204631823,-91.59193129
-2.212470133,-118.8144603
-2.181116892,73.31758991
-2.188955202,-70.76380804
-2.161521116,90.94851024
-2.165440271,26.91184338
-2.170665812,-39.79430417
-2.181116892,-54.74692394
-2.165440271,-733.4712076
-2.165440271,-752.6808847
-2.165440271,-771.8905618
-2.162304947,-796.2192915
-2.181116892,-807.1259428
-2.145844496,111.7766335
-2.145844496,54.14760225
-2.157601961,-16.30111018
-2.13408703,137.4027661
-2.114491255,159.0357024
-2.114491255,81.39659092
-2.12624872,25.35513631
-2.11841041,-733.4182884
-2.11841041,-752.6279655
-2.11841041,-771.8376426
-2.11841041,-797.4505453
-2.102733789,175.8573997
-2.099598465,118.2318964
-2.102733789,92.61546569
-2.102733789,60.59933723
-2.110572099,41.38084028
-2.068245224,208.5526582
-2.079218858,187.0895043
-2.067461393,145.4817671
-2.067461393,-734.9617657
-2.071380548,-756.8438634
-2.071380548,-776.0535405
-2.075299703,-795.8012296
-2.051784772,164.7090839
-2.051784772,122.2877137
-2.063542238,103.86521
-2.071380548,86.24751948
-2.036891983,233.5605178
-2.020431531,204.7645239
-2.024350686,182.3488241
-2.024350686,-726.9092243
-2.024350686,-746.1189013
-2.024350686,-765.3285784
-2.024350686,-790.9414812
-2.005538742,261.7699904
-2.008674066,163.1567867
-2.024350686,143.9294699
-1.98907829,232.0135126
-1.9741855,291.260108
-1.977320825,216.5522803
-1.977320825,196.8090011
-1.977320825,-726.856305
-1.977320825,-746.0659821
-1.977320825,-765.2756592
-1.977320825,-784.4853363
-1.961644204,257.6572849
-1.977320825,182.4017433
-1.927155639,316.92593
-1.930290963,291.3094993
-1.930290963,272.0998222
-1.938129273,248.078906
-1.938129273,206.457939
-1.930290963,-720.4001601
-1.930290963,-739.6098372
-1.930290963,-758.8195143
-1.930290963,-784.4324171
-1.898937722,340.9697779
-1.906776032,220.9004763
-1.880125777,309.2949784
-1.891099411,289.7527922
-1.898937722,275.3367146
-1.883261101,-720.3472409
-1.883261101,-739.556918
-1.883261101,-758.7665951
-1.887180256,-781.1822949
-1.864449156,361.8190688
-1.867584481,243.3558656
-1.848772536,329.8205801
-1.832312084,-721.8907182
-1.836231239,-743.7728159
-1.836231239,-762.982493
-1.836231239,-780.0577615
-1.817419295,381.0816651
-1.820554619,355.4652344
-1.820554619,259.416849
-1.812716309,337.8651836
-1.789201378,-713.8381768
-1.789201378,-733.0478539
-1.789201378,-752.2575309
-1.792336702,-776.5933165
-1.773524757,401.9415399
-1.773524757,378.9966478
-1.777443912,358.7153565
-1.773524757,271.2090153
-1.739036192,419.589218
-1.742171516,-713.7852576
-1.742171516,-732.9949346
-1.742171516,-752.2046117
-1.742171516,-771.4142888
-1.72963022,385.6627057
-1.726494895,276.597956
-1.69200633,445.25504
-1.695141654,419.6386093
-1.695141654,402.5633407
-1.695141654,-713.7323383
-1.695141654,-732.9420154
-1.695141654,-752.1516925
-1.695141654,-771.3613696
-1.679465034,278.7852838
-1.644976469,464.5176363
-1.648111793,438.9012056
-1.648111793,421.825937
-1.663788413,410.0690502
-1.648111793,-707.2761934
-1.648111793,-726.4858705
-1.648111793,-745.6955476
-1.652030948,-768.1112474
-1.632435172,274.5693859
-1.597946607,477.3770069
-1.601081931,451.7605762
-1.605001086,432.5464891
-1.597946607,-709.7810365
-1.601081931,-734.9705855
-1.601081931,-754.1802626
-1.601081931,-769.1211226
-1.58540531,271.4206922
-1.550132914,495.0396787
-1.554052069,473.157581
-1.554052069,452.6138986
-1.56972869,442.1910171
-1.554052069,-700.7671293
-1.554052069,-719.9768064
-1.554052069,-739.1864834
-1.557971224,-761.6021833
-1.538375449,266.13759
-1.503886883,503.0957481
-1.507022208,477.4793174
-1.510941363,459.8660368
-1.507022208,-694.3109844
-1.507022208,-713.5206615
-1.507022208,-732.7303385
-1.507022208,-758.3432413
-1.491345587,256.5856707
-1.456857022,513.3938284
-1.459992346,488.2042794
-1.467830656,474.3218039
-1.459992346,-694.2580652
-1.459992346,-713.4677422
-1.459992346,-732.6774193
-1.459992346,-758.2903221
-1.444315725,245.9665471
-1.409043329,527.2145649
-1.412962484,505.3324671
-1.416881639,485.584778
-1.409043329,-695.8015424
-1.412962484,-717.6836401
-1.412962484,-736.8933172
-1.416881639,-756.6410064
-1.397285864,233.213015
-1.362797298,535.2706342
-1.365932622,509.6542035
-1.365932622,494.7133435
-1.365932622,-687.749001
-1.365932622,-706.9586781
-1.365932622,-726.1683552
-1.365932622,-751.7812579
-1.350256002,219.3922785
-1.315767437,545.5687145
-1.318902761,520.3791655
-1.322821916,503.2994871
-1.318902761,-687.6960818
-1.318902761,-706.9057589
-1.318902761,-726.115436
-1.318902761,-745.325113
-1.30322614,205.5715421
-1.268737575,552.0248595
-1.271872899,526.8353105
-1.271872899,511.8944505
-1.271872899,-687.6431626
-1.271872899,-706.8528397
-1.271872899,-726.0625167
-1.271872899,-745.2721938
-1.256196278,188.5491928
-1.220923882,565.8455959
-1.224843037,543.9634982
-1.227978361,522.6158846
-1.224843037,-681.1870177
-1.224843037,-700.3966947
-1.224843037,-719.6063718
-1.224843037,-745.2192746
-1.209166417,172.5940478
-1.17389402,572.3017408
-1.177813176,550.4196431
-1.1809485,529.0720295
-1.177813176,-681.1340984
-1.177813176,-700.3437755
-1.177813176,-719.5534526
-1.1809485,-743.8892382
-1.162136555,155.5716985
-1.126864159,578.7578857
-1.130783314,556.875788
-1.133918638,534.8878519
-1.130783314,-674.6779535
-1.130783314,-693.8876306
-1.130783314,-713.0973077
-1.130783314,-738.7102105
-1.115106693,141.750962
-1.083753452,586.8104271
-1.083753452,567.6007501
-1.083753452,541.9878473
-1.083753452,-674.6250343
-1.083753452,-693.8347114
-1.083753452,-713.0443885
-1.083753452,-738.6572912
-1.068076832,127.9302256
-1.033588266,584.305584
-1.03672359,559.116035
-1.040642746,542.0363566
-1.03672359,-674.5721151
-1.03672359,-693.7817922
-1.03672359,-712.9914692
-1.03672359,-732.2011463
-1.02104697,109.840672
-0.986558405,590.7617289
-0.989693729,565.5721799
-0.993612884,547.6920983
-0.986558405,-677.0769582
-0.989693729,-702.2665072
-0.989693729,-721.4761843
-0.989693729,-736.4170442
-0.974017108,92.8183227
-0.939528543,597.2178739
-0.942663867,572.0283248
-0.946583022,553.34784
-0.942663867,-668.063051
-0.942663867,-687.272728
-0.942663867,-706.4824051
-0.945799191,-730.8181907
-0.926987246,78.99758625
-0.892498681,603.6740188
-0.895634005,578.4844698
-0.89955316,559.8039849
-0.895634005,-668.0101317
-0.895634005,-687.2198088
-0.895634005,-706.4294859
-0.895634005,-725.639163
-0.879957385,65.17684981
-0.844684988,611.0915295
-0.848604144,589.2094318
-0.851739468,567.2214956
-0.848604144,-661.5539868
-0.848604144,-680.7636639
-0.848604144,-699.973341
-0.848604144,-725.5862438
-0.832927523,55.62493049
-0.801574282,619.1440709
-0.801574282,599.9343938
-0.798438958,575.6056642
-0.817250902,564.6990128
-0.801574282,-661.5010676
-0.801574282,-680.7107447
-0.801574282,-699.9204218
-0.801574282,-719.1300988
-0.785897661,43.93860261
-0.751409096,616.6392278
-0.75454442,591.4496788
-0.758463575,572.7691939
-0.750625265,-663.0445449
-0.75454442,-684.9266426
-0.75454442,-704.1363197
-0.75454442,-721.2115882
-0.7388678,36.52109185
-0.707514558,625.6531351
-0.707514558,606.443458
-0.707514558,580.8305552
-0.707514558,-654.9920035
-0.707514558,-674.2016805
-0.707514558,-693.4113576
-0.707514558,-719.0242604
-0.691837938,28.03637682
-0.656565542,624.1096578
-0.660484697,602.2275601
-0.663620021,580.2396239
-0.660484697,-654.9390843
-0.660484697,-674.1487613
-0.660484697,-693.3584384
-0.664403852,-715.7741383
-0.644808076,21.68607034
-0.613454835,632.1621992
-0.613454835,612.9525221
-0.610319511,588.6237924
-0.629131456,577.7171411
-0.610319511,-657.4439274
-0.613454835,-682.6334764
-0.613454835,-701.8431534
-0.613454835,-716.7840134
-0.613454835,17.4525327
-0.562505818,630.6187219
-0.566424973,608.7366242
-0.569560297,586.748688
-0.566424973,-648.4300201
-0.566424973,-667.6396972
-0.566424973,-686.8493743
-0.566424973,-706.0590514
-0.519395112,638.6712633
-0.519395112,619.4615862
-0.515475957,597.0547063
-0.527233422,584.2350251
-0.516259788,-650.9348632
-0.519395112,-676.1244122
-0.519395112,-695.3340893
-0.519395112,-710.2749493
-0.47236525,638.7241825
-0.47236525,619.5145055
-0.47236525,593.9016027
-0.47236525,-641.920956
-0.47236525,-661.1306331
-0.47236525,-680.3403101
-0.476284405,-702.75601
-0.422200064,636.2193394
-0.425335388,611.0297904
-0.429254543,592.3493056
-0.425335388,-641.8680368
-0.425335388,-661.0777138
-0.425335388,-680.2873909
-0.425335388,-699.497068
-0.378305527,645.2332467
-0.378305527,626.0235696
-0.378305527,600.4106668
-0.378305527,-635.4118918
-0.378305527,-654.6215689
-0.378305527,-673.831246
-0.382224682,-696.2469459
-0.328140341,642.7284036
-0.331275665,617.5388546
-0.33519482,598.8583697
-0.32735651,-636.9553691
-0.331275665,-658.8374668
-0.331275665,-678.0471439
-0.331275665,-695.1224124
-0.280326648,650.1459143
-0.284245803,628.2638166
-0.284245803,610.1213438
-0.292084113,597.3060726
-0.284245803,-628.9028277
-0.284245803,-648.1125048
-0.284245803,-667.3221819
-0.287381127,-691.6579675
-0.237215941,658.1984557
-0.237215941,638.9887786
-0.237215941,619.7791016
-0.237215941,603.7710373
-0.237215941,-628.8499085
-0.237215941,-648.0595856
-0.237215941,-667.2692627
-0.237215941,-685.4117354
-0.19018608,658.2513749
-0.19018608,639.0416979
-0.19018608,619.8320208
-0.19018608,603.8239566
-0.19018608,-622.3937636
-0.19018608,-641.6034407
-0.19018608,-660.8131177
-0.19018608,-680.0227948
-0.143156218,658.3042942
-0.143156218,639.0946171
-0.143156218,619.88494
-0.143156218,603.8768758
-0.139237063,-623.9372408
-0.143156218,-645.8193386
-0.143156218,-665.0290156
-0.143156218,-682.1042842
-0.092991032,655.7994511
-0.096126356,630.6099021
-0.100045511,611.9294172
-0.096126356,-615.8846994
-0.096126356,-635.0943765
-0.096126356,-654.3040536
-0.096126356,-673.5137307
-0.049096495,664.8133583
-0.049096495,645.6036812
-0.049096495,626.3940041
-0.049096495,610.3859399
-0.049096495,-609.4285545
-0.049096495,-628.6382316
-0.049096495,-647.8479087
-0.049096495,-673.4608115
0.044963229,671.3224224
0.044963229,652.1127454
0.044963229,632.9030683
0.044963229,616.895004
0.039737689,161.1928957
0.037124919,139.8458701
0.029286608,120.6273731
0.029286608,101.417696
0.048098553,-611.8804784
0.044963229,-637.0700274
0.044963229,-656.2797045
0.044963229,-671.2205645
0.055414309,191.0922553
0.06847816,223.1230836
0.091993091,671.3753417
0.091993091,652.1656646
0.091993091,632.9559875
0.091993091,616.9479233
0.08676755,253.0253832
0.095128415,-605.4243335
0.091993091,-630.6138825
0.091993091,-649.8235596
0.091993091,-664.7644195
0.102444171,303.2016242
0.091993091,280.7785744
0.118120791,336.3025966
0.139022952,671.4282609
0.139022952,652.2185838
0.139022952,626.605681
0.131184642,365.6654142
0.139022952,-596.4104263
0.139022952,-615.6201033
0.139022952,-634.8297804
0.139022952,-660.4426832
0.146861263,388.0943438
0.162537883,413.7248864
0.186052814,671.4811801
0.186052814,652.271503
0.186052814,626.6586002
0.178214504,439.3554289
0.186052814,-589.9542814
0.186052814,-609.1639584
0.186052814,-628.3736355
0.186052814,-653.9865383
0.193891124,464.9859714
0.209567745,487.414901
0.233082676,671.5340993
0.233082676,652.3244222
0.233082676,626.7115195
0.227857135,509.3131685
0.233082676,-589.9013621
0.233082676,-609.1110392
0.233082676,-628.3207163
0.229947352,-652.6565019
0.256597607,530.6895937
0.280112537,677.9902442
0.280112537,658.7805671
0.280112537,633.1676644
0.280112537,-583.4452172
0.280112537,-602.6548943
0.280112537,-621.8645714
0.280112537,-647.4774741
0.287950848,551.5353567
0.327142399,678.0431634
0.327142399,658.8334864
0.327142399,633.2205836
0.319304089,569.1795068
0.330277723,-585.9500603
0.327142399,-611.1396093
0.327142399,-630.3492864
0.323223244,-647.4289649
0.35849564,587.3660789
0.378091416,676.4996862
0.374172261,654.6175885
0.371036937,632.6296523
0.378091416,-578.5325496
0.374172261,-600.4146473
0.374172261,-619.6243244
0.371036937,-641.6122605
0.405525502,599.1582453
0.421202122,684.5522276
0.421202122,665.3425505
0.421202122,646.1328734
0.421202122,630.1248092
0.421202122,-570.4800082
0.421202122,-589.6896853
0.421202122,-608.8993623
0.421202122,-634.5122651
0.452555364,608.816003
0.468231984,684.6051468
0.468231984,665.3954697
0.468231984,646.1857926
0.468231984,629.1105241
0.471367308,-572.9848513
0.468231984,-598.1744003
0.468231984,-617.3840774
0.464312829,-635.264159
0.502720549,619.3310522
0.515261846,684.658066
0.515261846,665.4483889
0.515261846,646.2387119
0.515261846,-563.970944
0.515261846,-583.1806211
0.515261846,-602.3902982
0.515261846,-628.003201
0.546615087,620.6610886
0.562291708,684.7109852
0.562291708,665.5013082
0.562291708,646.2916311
0.562291708,-557.5147991
0.562291708,-576.7244762
0.562291708,-595.9341533
0.565427032,-620.262883
0.546615087,-631.1695343
0.593644949,622.3148142
0.612456893,682.2061421
0.609321569,657.0165931
0.609321569,641.542131
0.612456893,-560.0196422
0.609321569,-585.2091912
0.609321569,-604.4188683
0.605402414,-623.0993532
0.64067481,612.2292928
0.656351431,691.2200494
0.656351431,672.0103723
0.656351431,652.8006952
0.656351431,636.792631
0.656351431,-551.005735
0.656351431,-570.2154121
0.656351431,-589.4250891
0.656351431,-615.0379919
0.687704672,610.1478034
0.703381293,691.2729686
0.703381293,672.0632915
0.703381293,646.4503888
0.706516617,-553.5105781
0.703381293,-578.7001271
0.703381293,-597.9098042
0.699462138,-615.7898858
0.734734534,604.8647012
0.750411154,689.7250814
0.750411154,667.8473936
0.750411154,645.8629854
0.75433031,-546.0930673
0.750411154,-567.9751651
0.750411154,-587.1848421
0.74727583,-609.1727783
0.781764396,600.6488033
0.801360171,689.7824106
0.797441016,667.9003128
0.794305692,645.9123767
0.80057634,-540.5982883
0.797441016,-565.7878373
0.797441016,-584.9975144
0.797441016,-602.0727829
0.781764396,-611.6952611
0.828794257,596.4329054
0.844470878,697.834952
0.844470878,678.6252749
0.844470878,659.4155978
0.844470878,643.4075336
0.848390033,-533.1807775
0.844470878,-555.0628752
0.844470878,-574.2725523
0.844470878,-594.8162347
0.828794257,-605.2391162
0.875824119,592.2170075
0.89150074,697.8878712
0.89150074,678.6781941
0.89150074,659.468517
0.89150074,643.4604528
0.89150074,-525.1282361
0.89150074,-544.3379132
0.89150074,-563.5475903
0.894636064,-587.87632
0.875824119,-598.7829713
0.922853981,589.0683139
0.941665925,695.3830281
0.938530601,670.1934791
0.938530601,652.0510063
0.922853981,643.4957323
0.938530601,-518.6720912
0.938530601,-537.8817683
0.938530601,-557.0914454
0.941665925,-581.420175
0.922853981,-592.3268264
0.969883842,586.9868245
0.985560463,704.3969353
0.985560463,685.1872582
0.985560463,665.9775812
0.985560463,649.9695169
0.985560463,-512.2159463
0.985560463,-531.4256234
0.985560463,-550.6353004
0.985560463,-569.8449775
0.985560463,-585.8530418
1.016913704,582.7709266
1.032590325,704.4498545
1.032590325,685.2401775
1.032590325,666.0305004
1.032590325,650.0224361
1.032590325,-505.7598014
1.032590325,-524.9694785
1.032590325,-544.1791555
1.032590325,-563.3888326
1.032590325,-579.3968968
1.063943566,581.7566416
1.079620186,704.5027737
1.079620186,685.2930967
1.079620186,666.0834196
1.079620186,650.0753554
1.079620186,-499.3036565
1.079620186,-518.5133335
1.079620186,-537.7230106
1.079620186,-556.9326877
1.079620186,-572.9407519
1.110973428,579.6751522
1.126650048,704.555693
1.126650048,685.3460159
1.126650048,666.1363388
1.126650048,650.1282746
1.129785372,-501.8084996
1.126650048,-526.9980486
1.126650048,-546.2077257
1.122730893,-564.8882105
1.158003289,578.6608672
1.17367991,704.6086122
1.17367991,685.3989351
1.17367991,659.7860323
1.177599065,-494.3909888
1.17367991,-516.2730865
1.17367991,-535.4827636
1.170544586,-557.4706998
1.205033151,576.5793778
1.220709772,704.6615314
1.220709772,685.4518543
1.220709772,659.8389516
1.224628927,-487.9348439
1.220709772,-509.8169416
1.220709772,-529.0266187
1.217574447,-551.0145549
1.252063013,573.4306842
1.267739633,711.1176763
