Time[s],Deformation[in]
0,0
0.05,0.282882398
0.1,0.538471005
0.15,0.788926324
0.2,1.031745889
0.25,1.264503526
0.3,1.484873599
0.35,1.690654243
0.4,1.879789365
0.45,2.05038919
0.5,2.200749141
0.55,2.32936687
0.6,2.434957272
0.65,2.516465323
0.7,2.573076621
0.75,2.604225524
0.8,2.609600804
0.85,2.589148752
0.9,2.543073718
0.95,2.471836069
1,2.376147587
1.05,2.256964361
1.1,2.11547723
1.15,1.953099887
1.2,1.771454751
1.25,1.572356763
1.3,1.357795241
1.35,1.129914016
1.4,0.890989999
1.45,0.643410442
1.5,0.389649078
1.55,0.132241405
1.6,-0.126240644
1.65,-0.383214401
1.7,-0.63611227
1.75,-0.882407378
1.8,-1.119638827
1.85,-1.345436278
1.9,-1.557543638
1.95,-1.7538416
2,-1.93236882
2.05,-2.091341512
2.1,-2.229171275
2.15,-2.344480959
2.2,-2.436118426
2.25,-2.503168068
2.3,-2.544959944
2.35,-2.561076486
2.4,-2.551356661
2.45,-2.515897587
2.5,-2.455053559
2.55,-2.36943251
2.6,-2.259889939
2.65,-2.127520358
2.7,-1.973646359
2.75,-1.799805402
2.8,-1.607734448
2.85,-1.399352606
2.9,-1.176741958
2.95,-0.942126757
3,-0.6978512
3.05,-0.446356008
3.1,-0.190154038
3.15,0.068194826
3.2,0.326109246
3.25,0.581012227
3.3,0.830356862
3.35,1.071651783
3.4,1.302486051
3.45,1.520553245
3.5,1.72367451
3.55,1.909820326
3.6,2.077130786
3.65,2.223934178
3.7,2.348763692
3.75,2.450372071
3.8,2.52774408
3.85,2.580106643
3.9,2.606936569
3.95,2.607965783
4,2.583184003
4.05,2.532838838
4.1,2.457433322
4.15,2.35772088
4.2,2.234697808
4.25,2.089593311
4.3,1.923857225
4.35,1.73914553
4.4,1.537303805
4.45,1.320348785
4.5,1.090448213
4.55,0.84989918
4.6,0.601105172
4.65,0.346552056
4.7,0.088783243
4.75,-0.169625725
4.8,-0.426092913
4.85,-0.678055785
4.9,-0.92299681
4.95,-1.15846862
5,-1.382118457
5.05,-1.591711688
5.1,-1.785154124
5.15,-1.960512954
5.2,-2.116036049
5.25,-2.250169475
5.3,-2.361573015
5.35,-2.449133561
5.4,-2.511976238
5.45,-2.549473141
5.5,-2.561249615
5.55,-2.547187993
5.6,-2.507428773
5.65,-2.442369218
5.7,-2.352659379
5.75,-2.239195609
5.8,-2.103111601
5.85,-1.945767059
5.9,-1.76873412
5.95,-1.573781637
6,-1.362857511
6.05,-1.138069227
6.1,-0.901662795
6.15,-0.656000309
6.2,-0.403536349
6.25,-0.14679345
6.3,0.111663098
6.35,0.369250881
6.4,0.623396168
6.45,0.871559624
6.5,1.111261681
6.55,1.340107315
6.6,1.555809976
6.65,1.756214435
6.7,1.939318317
6.75,2.103292108
6.8,2.246497436
6.85,2.367503441
6.9,2.465101071
6.95,2.538315163
7,2.586414185
7.05,2.608917549
7.1,2.605600407
7.15,2.576495904
7.2,2.521894843
7.25,2.442342779
7.3,2.338634569
7.35,2.211806433
7.4,2.063125595
7.45,1.894077624
7.5,1.706351593
7.55,1.501823197
7.6,1.282536018
7.65,1.050681098
7.7,0.808575058
7.75,0.558636939
7.8,0.303364042
7.85,0.045306968
7.9,-0.212955862
7.95,-0.46884397
8,-0.719800607
8.05,-0.963318298
8.1,-1.196963895
8.15,-1.418402887
8.2,-1.625422729
8.25,-1.815954948
8.3,-1.988095809
8.35,-2.140125337
8.4,-2.270524504
8.45,-2.377990403
8.5,-2.461449272
8.55,-2.520067216
8.6,-2.553258545
8.65,-2.560691622
8.7,-2.542292178
8.75,-2.498244054
8.8,-2.428987365
8.85,-2.3352141
8.9,-2.217861211
8.95,-2.078101249
9,-1.91733065
9.05,-1.73715578
9.1,-1.539376887
9.15,-1.325970112
9.2,-1.099067745
9.25,-0.86093692
9.3,-0.613956962
9.35,-0.360595611
9.4,-0.103384372
9.45,0.155106787
9.5,0.412295106
9.55,0.665610846
9.6,0.912522959
9.65,1.150564381
9.7,1.377356681
9.75,1.590633825
9.8,1.788264818
9.85,1.968274997
9.9,2.128865759
9.95,2.268432535
10,2.38558082
10.05,2.479140107
10.1,2.548175582
10.15,2.591997466
10.2,2.610167904
10.25,2.602505344
10.3,2.569086348
10.35,2.510244827
10.4,2.426568706
10.45,2.31889405
10.5,2.188296707
10.55,2.036081564
10.6,1.863769503
10.65,1.673082211
10.7,1.465924971
10.75,1.24436763
10.8,1.010623915
10.85,0.767029317
10.9,0.516017753
10.95,0.260097246
11,0.00182487
11.05,-0.256218802
11.1,-0.511455484
11.15,-0.761334935
11.2,-1.003360443
11.25,-1.235113768
11.3,-1.454279308
11.35,-1.658667232
11.4,-1.846235366
11.45,-2.015109589
11.5,-2.163602567
11.55,-2.290230606
11.6,-2.393728481
11.65,-2.473062076
11.7,-2.527438715
11.75,-2.556315086
11.8,-2.559402664
11.85,-2.536670601
11.9,-2.488346026
11.95,-2.414911784
12,-2.317101605
12.05,-2.195892775
12.1,-2.052496375
12.15,-1.888345172
12.2,-1.705079312
12.25,-1.504529926
12.3,-1.288700838
12.35,-1.05974854
12.4,-0.819960648
12.45,-0.571733044
12.5,-0.317545936
12.55,-0.059939077
12.6,0.19851361
12.65,0.455229752
12.7,0.707644325
12.75,0.953235287
12.8,1.189548773
12.85,1.414223618
12.9,1.625014945
12.95,1.819816597
13,1.996682179
13.05,2.15384451
13.1,2.289733275
13.15,2.402990718
13.2,2.49248521
13.25,2.55732255
13.3,2.596854905
13.35,2.610687281
13.4,2.598681469
13.45,2.560957428
13.5,2.497892084
13.55,2.410115564
13.6,2.298504903
13.65,2.164175278
