Deformation[in],Force[kip]
-4.301316752,-727.9466963
-4.309852612,-760.4342647
-4.310328693,-783.4462922
-4.330436131,-805.1046711
-4.311308861,-830.823996
-4.266963279,-587.8440579
-4.267565382,-616.9475045
-4.268069469,-641.3131808
-4.268573555,-665.678857
-4.259317972,-693.428655
-4.272634249,-861.9579157
-4.218041716,-503.7824749
-4.226566373,-535.7285837
-4.22707046,-560.09426
-4.176059739,-470.0766227
-4.144554353,-372.6139177
-4.145128451,-400.3637157
-4.165347908,-427.4366893
-4.185343326,-443.6804734
-4.188535872,-597.996423
-4.146461479,-844.9019423
-4.154874117,-871.4334564
-4.095582381,-286.115767
-4.104129442,-319.1447948
-4.124264884,-342.1568224
-4.052558626,-202.054184
-4.0629344,-228.4503333
-4.083013832,-248.7550635
-4.013718786,-130.1754391
-4.022215438,-160.7678992
-4.061842213,-175.6580347
-4.026346145,-835.5617664
-4.044669677,-866.0188617
-3.98051631,-45.70776141
-3.97127473,-74.13438369
-4.001183843,-94.4391139
-3.930947836,-25.4030312
-3.891931566,55.00370042
-3.920109983,23.32832129
-3.908221951,-827.4398743
-3.926562286,-858.7091588
-3.849327882,118.7605533
-3.879363017,92.36440399
-3.811042537,163.8370543
-3.858695484,141.0957565
-3.861888029,-13.22019308
-3.770850066,206.0708931
-3.790097756,-819.3179822
-3.800536541,-848.759841
-3.84012831,-861.9579157
-3.728809279,242.6194075
-3.743007706,31.45021338
-3.688860449,273.0765028
-3.739899175,181.7052169
-3.6587413,303.5335981
-3.681761236,-809.1656171
-3.672519656,-837.5922394
-3.702344755,-853.8360236
-3.618862483,330.6065717
-3.624799498,43.6330515
-3.578955661,359.033194
-3.529212157,387.7982285
-3.556008538,-812.414374
-3.574348873,-843.6836585
-3.489368345,413.1791412
-3.506843332,43.6330515
-3.419930474,443.6362366
-3.437884344,-804.2924819
-3.446352991,-833.5312934
-3.485923756,-845.7141315
-3.420476568,417.2400873
-3.389027191,36.8648081
-3.340767941,469.0171493
-3.319692938,-792.921833
-3.328228797,-825.4094013
-3.367799562,-837.5922394
-3.261647415,492.367589
-3.271183045,31.45021338
-3.182505885,516.7332653
-3.20926446,-776.6780488
-3.209768546,-801.0437251
-3.210272632,-825.4094013
-3.143565228,498.4590081
-3.153254884,30.0965647
-3.09560983,535.8197117
-3.075821647,-28.11032856
-3.083511761,-779.9268057
-3.092036419,-811.8729145
-3.092428486,-830.823996
-3.035438743,23.32832129
-2.977183184,558.5610095
-3.005277587,530.9465764
-2.957893486,-29.46397724
-2.965387567,-771.8049136
-2.973912225,-803.7510224
-2.984189982,-825.4094013
-2.917482578,23.32832129
-2.858790144,579.6779289
