Time[s],Deformation[in]
0,0
0.397422062,0.18122554
0.617565947,0.905058633
1.0908753,1.814279972
1.470623501,0.918622883
1.6632494,-0.012467211
1.800839329,-0.905590952
1.965947242,-1.67626389
2.186091127,-2.8663956
2.763968825,-4.220793135
3.369364508,-2.759829026
3.589508393,-1.589476397
3.754616307,-0.750728196
3.864688249,0.003518622
4.029796163,0.861774958
4.470083933,1.708629997
4.965407674,0.880707333
5.158033573,0.028733564
5.323141487,-0.988229579
5.460731415,-1.61952886
5.653357314,-2.810004898
6.231235012,-4.21051257
6.891666667,-2.722980327
7.05677458,-1.611118235
7.185191847,-1.012947786
7.331954436,-0.022768009
7.524580336,0.875881101
7.93735012,1.690535093
8.460191847,0.894813475
8.652817746,-0.021103625
8.790407674,-0.909892225
8.900479616,-1.495204012
9.148141487,-2.891488616
9.698501199,-4.214419739
10.35893285,-2.783638434
10.55155875,-1.554744466
10.68914868,-0.890623587
10.79922062,-0.085284034
10.90929257,0.220275678
11.01936451,0.896489956
11.45965228,1.69014099
11.95497602,0.889411483
12.12008393,0.059130354
12.28519185,-0.915944488
12.39526379,-1.582973686
12.61540767,-2.821442219
13.22080336,-4.207719975
13.85371703,-2.756526868
14.01882494,-1.625156641
14.12889688,-1.044160641
14.32152278,-0.030552878
14.4866307,0.835831848
14.92691847,1.664952219
15.42224221,0.893780493
15.61486811,0.012544521
15.77997602,-1.02148824
15.91756595,-1.662090011
16.11019185,-2.777423603
16.68806954,-4.206306744
17.3485012,-2.729415302
17.51360911,-1.643564056
17.67871703,-0.876345683
17.76127098,-0.183857692
18.00893285,0.905194106
18.44922062,1.659237714
18.91702638,0.878624433
19.10965228,-0.057017559
19.24724221,-0.848048727
19.41235012,-1.745524543
19.60497602,-2.828344577
20.15533573,-4.199573112
20.84328537,-2.741320006
21.00839329,-1.609949779
21.11846523,-0.995511262
21.31109113,0.022509056
21.50371703,0.925802961
21.91648681,1.658877479
22.41181055,0.88947922
22.57691847,0.075238113
22.76954436,-1.035543581
22.87961631,-1.603298046
23.07224221,-2.810970144
23.67763789,-4.21415495
24.33806954,-2.714208439
24.50317746,-1.641362618
24.66828537,-0.744090011
24.77835731,-0.04674192
24.94346523,0.848905008
25.383753,1.662064177
25.87907674,0.893848229
26.04418465,0.074404953
26.23681055,-0.938743169
26.34688249,-1.554710598
26.56702638,-2.867310044
27.14490408,-4.203874385
27.77781775,-2.794357748
27.99796163,-1.497202241
28.10803357,-0.902271859
28.2456235,-0.037495877
28.46576739,0.905261843
28.90605516,1.651029273
29.37386091,0.86243539
29.53896882,0.013729911
29.70407674,-0.947147344
29.89670264,-1.80074679
30.06181055,-2.821774128
30.66720624,-4.211362356
31.27260192,-2.757492114
31.41019185,-1.713891561
31.60281775,-0.865406226
31.76792566,-0.028515942
31.93303357,0.844603735
32.37332134,1.655989438
32.8411271,0.899317958
33.033753,-0.04694513
33.19886091,-0.954639493
33.33645084,-1.588274073
33.58411271,-2.986509491
34.13447242,-4.209949125
34.76738609,-2.749888683
34.96001199,-1.633166491
35.07008393,-0.971583315
35.37278177,0.800219341
35.88645084,1.885856087
36.2808753,0.900452546
36.50101918,0.031740584
36.69364508,-1.005095988
36.77619904,-1.486347454
37.02386091,-2.858572025
37.60173861,-4.228044028
38.20713429,-2.742251384
38.37224221,-1.688913697
38.50983213,-0.898918899
38.64742206,-0.047612819
38.84004796,0.885872247
39.41792566,1.930285639
39.83069544,0.826738213
39.96828537,0.030071361
40.13339329,-0.903169369
40.35353717,-1.768165495
41.04148681,-3.065879828
41.61936451,-1.677906502
41.86702638,-0.852214527
42.16972422,-0.013550996
42.66504796,0.45433943
43.22228717,0.219898893
